Year,Capabilities of the health sector,Capabilities of the health sector (2010-2020),Value
2010,,,
2010,"(1) Political, legal and normative instruments for the implementation of CSR",,
2010,(2) RSI Coordination and National RSI Focal Point,,
2010,(3) Funding,,
2010,(4) The laboratory,,
2010,(5) Supervision,,
2010,(6) Human resources,,
2010,(7) Management of health emergencies,,
2010,(8) Provision of health services,,
2010,(9) Infection Prevention and Control (IPC),,
2010,(10) Risk communication and community involvement (RCCE),,
2010,(11) Points of Entry (PoE) and Border Health,,
2010,(12) Zoonotic diseases,,
2010,(13) Food safety,,
2010,(14) Chemical events,,
2010,(15) Radiological emergencies,,
2010,,"(01) national legislation, policies and funding",100.0
2010,,(02) coordination and liaison with national focal points,75.0
2010,,(03) supervision,80.0
2010,,(04) the answer,73.0
2010,,(05) training,51.0
2010,,(06) risk communication,50.0
2010,,(07) human resources,0.0
2010,,(08) the laboratory,54.0
2010,,(09) entry points,42.0
2010,,(10) zoonotic events,92.0
2010,,(11) food safety,93.0
2010,,(12) chemical events,50.0
2010,,(13) radionuclear emergencies,100.0
2011,,,
2011,"(1) Political, legal and normative instruments for the implementation of CSR",,
2011,(2) RSI Coordination and National RSI Focal Point,,
2011,(3) Funding,,
2011,(4) The laboratory,,
2011,(5) Supervision,,
2011,(6) Human resources,,
2011,(7) Management of health emergencies,,
2011,(8) Provision of health services,,
2011,(9) Infection Prevention and Control (IPC),,
2011,(10) Risk communication and community involvement (RCCE),,
2011,(11) Points of Entry (PoE) and Border Health,,
2011,(12) Zoonotic diseases,,
2011,(13) Food safety,,
2011,(14) Chemical events,,
2011,(15) Radiological emergencies,,
2011,,"(01) national legislation, policies and funding",100.0
2011,,(02) coordination and liaison with national focal points,83.0
2011,,(03) supervision,90.0
2011,,(04) the answer,93.0
2011,,(05) training,52.0
2011,,(06) risk communication,57.0
2011,,(07) human resources,25.0
2011,,(08) the laboratory,60.0
2011,,(09) entry points,77.0
2011,,(10) zoonotic events,89.0
2011,,(11) food safety,75.0
2011,,(12) chemical events,75.0
2011,,(13) radionuclear emergencies,100.0
2012,,,
2012,"(1) Political, legal and normative instruments for the implementation of CSR",,
2012,(2) RSI Coordination and National RSI Focal Point,,
2012,(3) Funding,,
2012,(4) The laboratory,,
2012,(5) Supervision,,
2012,(6) Human resources,,
2012,(7) Management of health emergencies,,
2012,(8) Provision of health services,,
2012,(9) Infection Prevention and Control (IPC),,
2012,(10) Risk communication and community involvement (RCCE),,
2012,(11) Points of Entry (PoE) and Border Health,,
2012,(12) Zoonotic diseases,,
2012,(13) Food safety,,
2012,(14) Chemical events,,
2012,(15) Radiological emergencies,,
2012,,"(01) national legislation, policies and funding",100.0
2012,,(02) coordination and liaison with national focal points,83.0
2012,,(03) supervision,95.0
2012,,(04) the answer,88.0
2012,,(05) training,40.0
2012,,(06) risk communication,57.0
2012,,(07) human resources,20.0
2012,,(08) the laboratory,66.0
2012,,(09) entry points,85.0
2012,,(10) zoonotic events,89.0
2012,,(11) food safety,67.0
2012,,(12) chemical events,69.0
2012,,(13) radionuclear emergencies,100.0
2013,,,
2013,"(1) Political, legal and normative instruments for the implementation of CSR",,
2013,(2) RSI Coordination and National RSI Focal Point,,
2013,(3) Funding,,
2013,(4) The laboratory,,
2013,(5) Supervision,,
2013,(6) Human resources,,
2013,(7) Management of health emergencies,,
2013,(8) Provision of health services,,
2013,(9) Infection Prevention and Control (IPC),,
2013,(10) Risk communication and community involvement (RCCE),,
2013,(11) Points of Entry (PoE) and Border Health,,
2013,(12) Zoonotic diseases,,
2013,(13) Food safety,,
2013,(14) Chemical events,,
2013,(15) Radiological emergencies,,
2013,,"(01) national legislation, policies and funding",
2013,,(02) coordination and liaison with national focal points,
2013,,(03) supervision,
2013,,(04) the answer,
2013,,(05) training,
2013,,(06) risk communication,
2013,,(07) human resources,
2013,,(08) the laboratory,
2013,,(09) entry points,
