Year,Modes of transport,Value
2010,,3993.4
2010,Railway,398.8
2010,Road,2416.7
2010,Taxi,80.1
2010,Trolleybuses,346.8
2010,River,0.2
2010,Air,750.8
2011,,4349.7
2011,Railway,363.1
2011,Road,2733.4
2011,Taxi,80.5
2011,Trolleybuses,335.1
2011,River,0.3
2011,Air,837.3
2012,,4472.3
2012,Railway,347.2
2012,Road,2835.5
2012,Taxi,74.5
2012,Trolleybuses,340.1
2012,River,0.2
2012,Air,874.8
2013,,4574.4
2013,Railway,329.8
2013,Road,3003.6
2013,Taxi,76.0
2013,Trolleybuses,342.3
2013,River,0.2
2013,Air,822.4
2014,,4631.8
2014,Railway,256.9
2014,Road,2720.3
2014,Taxi,62.5
2014,Trolleybuses,366.9
2014,River,0.3
2014,Air,1224.9
2015,,5071.9
2015,Railway,180.8
2015,Road,2834.4
2015,Taxi,100.5
2015,Trolleybuses,413.2
2015,River,0.3
2015,Air,1542.7
2016,,5302.1
2016,Railway,121.5
2016,Road,3005.7
2016,Taxi,107.8
2016,Trolleybuses,415.5
2016,River,0.3
2016,Air,1651.3
2017,,6231.5
2017,Railway,99.0
2017,Road,3132.4
2017,Taxi,148.9
2017,Trolleybuses,427.0
2017,River,0.3
2017,Air,2423.9
2018,,6597.1
2018,Railway,94.6
2018,Road,3374.7
2018,Taxi,219.9
2018,Trolleybuses,452.5
2018,River,0.3
2018,Air,2455.3
2019,,6693.2
2019,Railway,74.1
2019,Road,3512.3
2019,Taxi,220.6
2019,Trolleybuses,498.0
2019,River,0.3
2019,Air,2388.0
2020,,2941.3
2020,Railway,29.2
2020,Road,1754.8
2020,Taxi,153.8
2020,Trolleybuses,352.8
2020,River,0.4
2020,Air,650.3
2021,,4108.9
2021,Railway,23.3
2021,Road,2062.1
2021,Taxi,211.8
2021,Trolleybuses,413.3
2021,River,0.3
2021,Air,1398.1
