Year,Area of residence,Sex,Age group,Existence of disability,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,Men,,,
2010,,Women,,,
2010,,,0-17,,
2010,,,18-29,,
2010,,,30-39,,
2010,,,40-49,,
2010,,,50-59,,
2010,,,60+,,
2010,,,,People with disability,
2010,,,,People without disability,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,Men,,,
2011,,Women,,,
2011,,,0-17,,
2011,,,18-29,,
2011,,,30-39,,
2011,,,40-49,,
2011,,,50-59,,
2011,,,60+,,
2011,,,,People with disability,
2011,,,,People without disability,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,Men,,,
2012,,Women,,,
2012,,,0-17,,
2012,,,18-29,,
2012,,,30-39,,
2012,,,40-49,,
2012,,,50-59,,
2012,,,60+,,
2012,,,,People with disability,
2012,,,,People without disability,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,Men,,,
2013,,Women,,,
2013,,,0-17,,
2013,,,18-29,,
2013,,,30-39,,
2013,,,40-49,,
2013,,,50-59,,
2013,,,60+,,
2013,,,,People with disability,
2013,,,,People without disability,
2014,,,,,
2014,Urban,,,,
2014,Rural,,,,
2014,,Men,,,
2014,,Women,,,
2014,,,0-17,,
2014,,,18-29,,
2014,,,30-39,,
2014,,,40-49,,
2014,,,50-59,,
2014,,,60+,,
2014,,,,People with disability,
2014,,,,People without disability,
2015,,,,,
2015,Urban,,,,
2015,Rural,,,,
2015,,Men,,,
2015,,Women,,,
2015,,,0-17,,
2015,,,18-29,,
2015,,,30-39,,
2015,,,40-49,,
2015,,,50-59,,
2015,,,60+,,
2015,,,,People with disability,
2015,,,,People without disability,
2016,,,,,
2016,Urban,,,,
2016,Rural,,,,
2016,,Men,,,
2016,,Women,,,
2016,,,0-17,,
2016,,,18-29,,
2016,,,30-39,,
2016,,,40-49,,
2016,,,50-59,,
2016,,,60+,,
2016,,,,People with disability,
2016,,,,People without disability,
2017,,,,,
2017,Urban,,,,
2017,Rural,,,,
2017,,Men,,,
2017,,Women,,,
2017,,,0-17,,
2017,,,18-29,,
2017,,,30-39,,
2017,,,40-49,,
2017,,,50-59,,
2017,,,60+,,
2017,,,,People with disability,
2017,,,,People without disability,
2018,,,,,
2018,Urban,,,,
2018,Rural,,,,
2018,,Men,,,
2018,,Women,,,
2018,,,0-17,,
2018,,,18-29,,
2018,,,30-39,,
2018,,,40-49,,
2018,,,50-59,,
2018,,,60+,,
2018,,,,People with disability,
2018,,,,People without disability,
2019,,,,,
2019,Urban,,,,
2019,Rural,,,,
2019,,Men,,,
2019,,Women,,,
2019,,,0-17,,
2019,,,18-29,,
2019,,,30-39,,
2019,,,40-49,,
2019,,,50-59,,
2019,,,60+,,
2019,,,,People with disability,
2019,,,,People without disability,
2020,,,,,
2020,Urban,,,,
2020,Rural,,,,
2020,,Men,,,
2020,,Women,,,
2020,,,0-17,,
2020,,,18-29,,
2020,,,30-39,,
2020,,,40-49,,
2020,,,50-59,,
2020,,,60+,,
2020,,,,People with disability,
2020,,,,People without disability,
2021,,,,,
2021,Urban,,,,
2021,Rural,,,,
2021,,Men,,,
2021,,Women,,,
2021,,,0-17,,
2021,,,18-29,,
2021,,,30-39,,
2021,,,40-49,,
2021,,,50-59,,
2021,,,60+,,
2021,,,,People with disability,
2021,,,,People without disability,
2022,,,,,
2022,Urban,,,,
2022,Rural,,,,
2022,,Men,,,
2022,,Women,,,
2022,,,0-17,,
2022,,,18-29,,
2022,,,30-39,,
2022,,,40-49,,
2022,,,50-59,,
2022,,,60+,,
2022,,,,People with disability,
2022,,,,People without disability,
