Year,Sex,Area of residence,Value
2010,,,
2010,Boys,,
2010,Girls,,
2010,,Urban,
2010,,Rural,
2011,,,
2011,Boys,,
2011,Girls,,
2011,,Urban,
2011,,Rural,
2012,,,
2012,Boys,,
2012,Girls,,
2012,,Urban,
2012,,Rural,
2013,,,
2013,Boys,,
2013,Girls,,
2013,,Urban,
2013,,Rural,
2014,,,
2014,Boys,,
2014,Girls,,
2014,,Urban,
2014,,Rural,
2015,,,106.6
2015,Boys,,107.0
2015,Girls,,106.2
2015,,Urban,129.2
2015,,Rural,93.9
2016,,,107.2
2016,Boys,,107.7
2016,Girls,,106.8
2016,,Urban,124.6
2016,,Rural,96.5
2017,,,101.8
2017,Boys,,102.4
2017,Girls,,101.1
2017,,Urban,119.9
2017,,Rural,90.2
2018,,,102.4
2018,Boys,,105.1
2018,Girls,,99.7
2018,,Urban,120.0
2018,,Rural,90.2
2019,,,104.1
2019,Boys,,104.2
2019,Girls,,104.1
2019,,Urban,122.5
2019,,Rural,91.3
2020,,,106.4
2020,Boys,,107.5
2020,Girls,,105.3
2020,,Urban,123.4
2020,,Rural,93.7
2021,,,107.6
2021,Boys,,108.1
2021,Girls,,107.1
2021,,Urban,124.7
2021,,Rural,94.3
2022,,,
2022,Boys,,
2022,Girls,,
2022,,Urban,
2022,,Rural,
