Year,Sex,Age group,Value
2010,,,
2010,Men,,
2010,Women,,
2010,,0-15,
2010,,15-24,
2010,,25-34,
2010,,35-44,
2010,,45-54,
2010,,16-55,
2010,,55+,
2011,,,
2011,Men,,
2011,Women,,
2011,,0-15,
2011,,15-24,
2011,,25-34,
2011,,35-44,
2011,,45-54,
2011,,16-55,
2011,,55+,
2012,,,
2012,Men,,
2012,Women,,
2012,,0-15,
2012,,15-24,
2012,,25-34,
2012,,35-44,
2012,,45-54,
2012,,16-55,
2012,,55+,
2013,,,
2013,Men,,
2013,Women,,
2013,,0-15,
2013,,15-24,
2013,,25-34,
2013,,35-44,
2013,,45-54,
2013,,16-55,
2013,,55+,
2014,,,
2014,Men,,
2014,Women,,
2014,,0-15,
2014,,15-24,
2014,,25-34,
2014,,35-44,
2014,,45-54,
2014,,16-55,
2014,,55+,
2015,,,20.909
2015,Men,,16.111
2015,Women,,25.362
2015,,0-15,23.351
2015,,15-24,5.43
2015,,25-34,6.548
2015,,35-44,6.195
2015,,45-54,18.002
2015,,16-55,20.329
2015,,55+,44.056
2016,,,25.482
2016,Men,,20.463
2016,Women,,30.113
2016,,0-15,33.604
2016,,15-24,7.661
2016,,25-34,6.945
2016,,35-44,7.577
2016,,45-54,20.542
2016,,16-55,23.518
2016,,55+,49.347
2017,,,30.532
2017,Men,,25.499
2017,Women,,35.141
2017,,0-15,47.391
2017,,15-24,11.321
2017,,25-34,7.175
2017,,35-44,8.77
2017,,45-54,22.331
2017,,16-55,26.389
2017,,55+,53.304
2018,,,30.388
2018,Men,,25.401
2018,Women,,34.946
2018,,0-15,46.489
2018,,15-24,11.665
2018,,25-34,6.517
2018,,35-44,7.678
2018,,45-54,20.896
2018,,16-55,26.439
2018,,55+,53.737
2019,,,31.489
2019,Men,,26.307
2019,Women,,36.224
2019,,0-15,47.195
2019,,15-24,12.129
2019,,25-34,6.119
2019,,35-44,7.609
2019,,45-54,20.887
2019,,16-55,27.666
2019,,55+,56.298
2020,,,28.138
2020,Men,,23.134
2020,Women,,32.703
2020,,0-15,37.703
2020,,15-24,11.813
2020,,25-34,5.069
2020,,35-44,6.137
2020,,45-54,16.487
2020,,16-55,25.831
2020,,55+,54.111
2021,,,28.889
2021,Men,,23.679
2021,Women,,33.602
2021,,0-15,33.739
2021,,15-24,9.965
2021,,25-34,5.723
2021,,35-44,7.389
2021,,45-54,19.566
2021,,16-55,27.722
2021,,55+,56.863
2022,,,30.71
2022,Men,,25.697
2022,Women,,35.202
2022,,0-15,38.807
2022,,15-24,12.291
2022,,25-34,5.559
2022,,35-44,7.333
2022,,45-54,20.089
2022,,16-55,28.781
2022,,55+,57.737
2023,,,30.164
2023,Men,,25.268
2023,Women,,34.552
2023,,0-15,44.383
2023,,15-24,11.287
2023,,25-34,4.316
2023,,35-44,7.1
2023,,45-54,19.8
2023,,16-55,26.779
2023,,55+,59.273
