Year,Classes of disasters,Age group,Sex,Value
2010,,,,
2010,Technogenic,,,
2010,Natural  (by genres),,,
2010,Social and biological,,,
2010,Fires,,,
2010,,0-17 years,,
2010,,18 years and over,,
2010,,,Men,
2010,,,Women,
2011,,,,
2011,Technogenic,,,
2011,Natural  (by genres),,,
2011,Social and biological,,,
2011,Fires,,,
2011,,0-17 years,,
2011,,18 years and over,,
2011,,,Men,
2011,,,Women,
2012,,,,
2012,Technogenic,,,
2012,Natural  (by genres),,,
2012,Social and biological,,,
2012,Fires,,,
2012,,0-17 years,,
2012,,18 years and over,,
2012,,,Men,
2012,,,Women,
2013,,,,
2013,Technogenic,,,
2013,Natural  (by genres),,,
2013,Social and biological,,,
2013,Fires,,,
2013,,0-17 years,,
2013,,18 years and over,,
2013,,,Men,
2013,,,Women,
2014,,,,
2014,Technogenic,,,
2014,Natural  (by genres),,,
2014,Social and biological,,,
2014,Fires,,,
2014,,0-17 years,,
2014,,18 years and over,,
2014,,,Men,
2014,,,Women,
2015,,,,
2015,Technogenic,,,
2015,Natural  (by genres),,,
2015,Social and biological,,,
2015,Fires,,,
2015,,0-17 years,,
2015,,18 years and over,,
2015,,,Men,
2015,,,Women,
2016,,,,
2016,Technogenic,,,
2016,Natural  (by genres),,,
2016,Social and biological,,,
2016,Fires,,,
2016,,0-17 years,,
2016,,18 years and over,,
2016,,,Men,
2016,,,Women,
2017,,,,
2017,Technogenic,,,
2017,Natural  (by genres),,,
2017,Social and biological,,,
2017,Fires,,,
2017,,0-17 years,,
2017,,18 years and over,,
2017,,,Men,
2017,,,Women,
2018,,,,
2018,Technogenic,,,
2018,Natural  (by genres),,,
2018,Social and biological,,,
2018,Fires,,,
2018,,0-17 years,,
2018,,18 years and over,,
2018,,,Men,
2018,,,Women,
2019,,,,
2019,Technogenic,,,
2019,Natural  (by genres),,,
2019,Social and biological,,,
2019,Fires,,,
2019,,0-17 years,,
2019,,18 years and over,,
2019,,,Men,
2019,,,Women,
2020,,,,
2020,Technogenic,,,
2020,Natural  (by genres),,,
2020,Social and biological,,,
2020,Fires,,,
2020,,0-17 years,,
2020,,18 years and over,,
2020,,,Men,
2020,,,Women,
2021,,,,
2021,Technogenic,,,
2021,Natural  (by genres),,,
2021,Social and biological,,,
2021,Fires,,,
2021,,0-17 years,,
2021,,18 years and over,,
2021,,,Men,
2021,,,Women,
2022,,,,
2022,Technogenic,,,
2022,Natural  (by genres),,,
2022,Social and biological,,,
2022,Fires,,,
2022,,0-17 years,,
2022,,18 years and over,,
2022,,,Men,
2022,,,Women,
