Year,Sex,Area of residence,Value
2010,,,
2010,Boys,,
2010,Girls,,
2010,,Urban,
2010,,Rural,
2011,,,
2011,Boys,,
2011,Girls,,
2011,,Urban,
2011,,Rural,
2012,,,
2012,Boys,,
2012,Girls,,
2012,,Urban,
2012,,Rural,
2013,,,
2013,Boys,,
2013,Girls,,
2013,,Urban,
2013,,Rural,
2014,,,
2014,Boys,,
2014,Girls,,
2014,,Urban,
2014,,Rural,
2015,,,102.8
2015,Boys,,100.7
2015,Girls,,105.1
2015,,Urban,122.2
2015,,Rural,90.5
2016,,,105.5
2016,Boys,,104.3
2016,Girls,,106.7
2016,,Urban,125.6
2016,,Rural,92.1
2017,,,108.0
2017,Boys,,107.3
2017,Girls,,108.7
2017,,Urban,127.1
2017,,Rural,95.2
2018,,,108.3
2018,Boys,,109.0
2018,Girls,,107.5
2018,,Urban,126.0
2018,,Rural,95.5
2019,,,108.3
2019,Boys,,108.6
2019,Girls,,107.9
2019,,Urban,129.7
2019,,Rural,93.1
2020,,,102.9
2020,Boys,,103.0
2020,Girls,,102.8
2020,,Urban,119.6
2020,,Rural,90.6
2021,,,102.7
2021,Boys,,101.4
2021,Girls,,104.1
2021,,Urban,119.7
2021,,Rural,90.2
