Year,Mediul de reședință,Sex,Value
2010,,,13.6
2010,Urban,,11.8
2010,Rural,,14.7
2010,,Bărbați,16.2
2010,,Femei,10.9
2011,,,13.4
2011,Urban,,10.8
2011,Rural,,15.1
2011,,Bărbați,16.1
2011,,Femei,10.6
2012,,,12.1
2012,Urban,,9.5
2012,Rural,,13.7
2012,,Bărbați,12.1
2012,,Femei,12.1
2013,,,11.9
2013,Urban,,11.7
2013,Rural,,11.9
2013,,Bărbați,11.8
2013,,Femei,11.9
2014,,,11.1
2014,Urban,,8.5
2014,Rural,,12.6
2014,,Bărbați,12.8
2014,,Femei,9.2
2015,,,11.1
2015,Urban,,9.8
2015,Rural,,11.9
2015,,Bărbați,13.1
2015,,Femei,9.0
2016,,,11.0
2016,Urban,,9.2
2016,Rural,,12.1
2016,,Bărbați,12.2
2016,,Femei,9.7
2017,,,10.6
2017,Urban,,9.1
2017,Rural,,11.6
2017,,Bărbați,11.6
2017,,Femei,9.6
2018,,,11.1
2018,Urban,,10.0
2018,Rural,,11.9
2018,,Bărbați,12.7
2018,,Femei,9.5
2019,,,10.2
2019,Urban,,9.2
2019,Rural,,10.8
2019,,Bărbați,10.6
2019,,Femei,9.7
2020,,,10.4
2020,Urban,,7.9
2020,Rural,,12.1
2020,,Bărbați,11.1
2020,,Femei,9.7
2021,,,10.1
2021,Urban,,8.2
2021,Rural,,11.3
2021,,Bărbați,10.8
2021,,Femei,9.3
2022,,,
2022,Urban,,
2022,Rural,,
2022,,Bărbați,
2022,,Femei,
