Year,Etnie,Sex,Grupa de vârstă,Dizabilitate,Cetățenie,Statut de beneficiar - cetățean străin,Autoritatea solicitată,Baza legală,Tipul asistenței calificate,Asistența primară,Value
2010,,,,,,,,,,,23007.0
2010,Bulgari,,,,,,,,,,
2010,Romi,,,,,,,,,,
2010,Ruși,,,,,,,,,,
2010,Evrei,,,,,,,,,,
2010,Ucraineni,,,,,,,,,,
2010,,Bărbați,,,,,,,,,20526.0
2010,,Femei,,,,,,,,,2481.0
2010,,,0-17,,,,,,,,1487.0
2010,,,18+,,,,,,,,21520.0
2010,,,, ,,,,,,,
2010,,,,Mintală,,,,,,,
2010,,,,Intelectuală,,,,,,,
2010,,,,Senzorială,,,,,,,
2010,,,,,Republica Moldova,,,,,,
2010,,,,,Cetățeni străini,,,,,,
2010,,,,,Apatrizi,,,,,,
2010,,,,,,Protecție temporă,,,,,
2010,,,,,,Protecție umanitară,,,,,
2010,,,,,,Refugiați,,,,,
2010,,,,,,Solicitanți azil,,,,,
2010,,,,,,,Procuratura,,,,
2010,,,,,,,Inspectoratul de politie,,,,
2010,,,,,,,Judecătoria,,,,
2010,,,,,,,Curtea de Apel,,,,
2010,,,,,,,Curtea Supremă de Justuție,,,,
2010,,,,,,,Alte autorități,,,,
2010,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,
2010,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,
2010,,,,,,,,,Calificată cauze penale,,
2010,,,,,,,,,Calificată cauze contravenționale,,
2010,,,,,,,,,Calificată cauze civile,,
2010,,,,,,,,,Urgență cauze penale,,
2010,,,,,,,,,Urgență cauze contravenționale,,
2010,,,,,,,,,,Total,
2011,,,,,,,,,,,27547.0
2011,Bulgari,,,,,,,,,,
2011,Romi,,,,,,,,,,
2011,Ruși,,,,,,,,,,
2011,Evrei,,,,,,,,,,
2011,Ucraineni,,,,,,,,,,
2011,,Bărbați,,,,,,,,,24998.0
2011,,Femei,,,,,,,,,2549.0
2011,,,0-17,,,,,,,,1344.0
2011,,,18+,,,,,,,,26203.0
2011,,,, ,,,,,,,
2011,,,,Mintală,,,,,,,
2011,,,,Intelectuală,,,,,,,
2011,,,,Senzorială,,,,,,,
2011,,,,,Republica Moldova,,,,,,
2011,,,,,Cetățeni străini,,,,,,
2011,,,,,Apatrizi,,,,,,
2011,,,,,,Protecție temporă,,,,,
2011,,,,,,Protecție umanitară,,,,,
2011,,,,,,Refugiați,,,,,
2011,,,,,,Solicitanți azil,,,,,
2011,,,,,,,Procuratura,,,,
2011,,,,,,,Inspectoratul de politie,,,,
2011,,,,,,,Judecătoria,,,,
2011,,,,,,,Curtea de Apel,,,,
2011,,,,,,,Curtea Supremă de Justuție,,,,
2011,,,,,,,Alte autorități,,,,
2011,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,
2011,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,
2011,,,,,,,,,Calificată cauze penale,,
2011,,,,,,,,,Calificată cauze contravenționale,,
2011,,,,,,,,,Calificată cauze civile,,
2011,,,,,,,,,Urgență cauze penale,,
2011,,,,,,,,,Urgență cauze contravenționale,,
2011,,,,,,,,,,Total,
2012,,,,,,,,,,,34190.0
2012,Bulgari,,,,,,,,,,
2012,Romi,,,,,,,,,,
2012,Ruși,,,,,,,,,,
2012,Evrei,,,,,,,,,,
2012,Ucraineni,,,,,,,,,,
2012,,Bărbați,,,,,,,,,30954.0
2012,,Femei,,,,,,,,,3236.0
2012,,,0-17,,,,,,,,2021.0
2012,,,18+,,,,,,,,32169.0
2012,,,, ,,,,,,,
2012,,,,Mintală,,,,,,,
2012,,,,Intelectuală,,,,,,,
2012,,,,Senzorială,,,,,,,
2012,,,,,Republica Moldova,,,,,,
2012,,,,,Cetățeni străini,,,,,,
2012,,,,,Apatrizi,,,,,,
2012,,,,,,Protecție temporă,,,,,
2012,,,,,,Protecție umanitară,,,,,
2012,,,,,,Refugiați,,,,,
2012,,,,,,Solicitanți azil,,,,,
2012,,,,,,,Procuratura,,,,
2012,,,,,,,Inspectoratul de politie,,,,
2012,,,,,,,Judecătoria,,,,
2012,,,,,,,Curtea de Apel,,,,
2012,,,,,,,Curtea Supremă de Justuție,,,,
2012,,,,,,,Alte autorități,,,,
2012,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,
2012,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,
2012,,,,,,,,,Calificată cauze penale,,
2012,,,,,,,,,Calificată cauze contravenționale,,
2012,,,,,,,,,Calificată cauze civile,,
2012,,,,,,,,,Urgență cauze penale,,
2012,,,,,,,,,Urgență cauze contravenționale,,
2012,,,,,,,,,,Total,
2013,,,,,,,,,,,37007.0
2013,Bulgari,,,,,,,,,,10.0
2013,Romi,,,,,,,,,,2.0
2013,Ruși,,,,,,,,,,19.0
2013,Evrei,,,,,,,,,,1.0
2013,Ucraineni,,,,,,,,,,11.0
2013,,Bărbați,,,,,,,,,32905.0
2013,,Femei,,,,,,,,,4102.0
2013,,,0-17,,,,,,,,2310.0
2013,,,18+,,,,,,,,34697.0
2013,,,, ,,,,,,,4.0
2013,,,,Mintală,,,,,,,3.0
2013,,,,Intelectuală,,,,,,,3.0
2013,,,,Senzorială,,,,,,,1.0
2013,,,,,Republica Moldova,,,,,,36993.0
2013,,,,,Cetățeni străini,,,,,,14.0
2013,,,,,Apatrizi,,,,,,0.0
2013,,,,,,Protecție temporă,,,,,5.0
2013,,,,,,Protecție umanitară,,,,,0.0
2013,,,,,,Refugiați,,,,,0.0
2013,,,,,,Solicitanți azil,,,,,9.0
2013,,,,,,,Procuratura,,,,3796.0
2013,,,,,,,Inspectoratul de politie,,,,17997.0
2013,,,,,,,Judecătoria,,,,8081.0
2013,,,,,,,Curtea de Apel,,,,3606.0
2013,,,,,,,Curtea Supremă de Justuție,,,,406.0
2013,,,,,,,Alte autorități,,,,3121.0
2013,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,27032.0
2013,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,9975.0
2013,,,,,,,,,Calificată cauze penale,,
2013,,,,,,,,,Calificată cauze contravenționale,,
2013,,,,,,,,,Calificată cauze civile,,
2013,,,,,,,,,Urgență cauze penale,,
2013,,,,,,,,,Urgență cauze contravenționale,,
2013,,,,,,,,,,Total,
2014,,,,,,,,,,,43147.0
2014,Bulgari,,,,,,,,,,25.0
2014,Romi,,,,,,,,,,2.0
2014,Ruși,,,,,,,,,,80.0
2014,Evrei,,,,,,,,,,0.0
2014,Ucraineni,,,,,,,,,,42.0
2014,,Bărbați,,,,,,,,,38087.0
2014,,Femei,,,,,,,,,5060.0
2014,,,0-17,,,,,,,,2679.0
2014,,,18+,,,,,,,,40468.0
2014,,,, ,,,,,,,5.0
2014,,,,Mintală,,,,,,,3.0
2014,,,,Intelectuală,,,,,,,2.0
2014,,,,Senzorială,,,,,,,0.0
2014,,,,,Republica Moldova,,,,,,43062.0
2014,,,,,Cetățeni străini,,,,,,85.0
2014,,,,,Apatrizi,,,,,,0.0
2014,,,,,,Protecție temporă,,,,,81.0
2014,,,,,,Protecție umanitară,,,,,3.0
2014,,,,,,Refugiați,,,,,0.0
2014,,,,,,Solicitanți azil,,,,,1.0
2014,,,,,,,Procuratura,,,,4411.0
2014,,,,,,,Inspectoratul de politie,,,,22868.0
2014,,,,,,,Judecătoria,,,,8854.0
2014,,,,,,,Curtea de Apel,,,,3950.0
2014,,,,,,,Curtea Supremă de Justuție,,,,352.0
2014,,,,,,,Alte autorități,,,,2712.0
2014,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,27356.0
2014,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,15791.0
2014,,,,,,,,,Calificată cauze penale,,36108.0
2014,,,,,,,,,Calificată cauze contravenționale,,816.0
2014,,,,,,,,,Calificată cauze civile,,2561.0
2014,,,,,,,,,Urgență cauze penale,,3366.0
2014,,,,,,,,,Urgență cauze contravenționale,,304.0
2014,,,,,,,,,,Total,7403.0
2015,,,,,,,,,,,43980.0
2015,Bulgari,,,,,,,,,,25.0
2015,Romi,,,,,,,,,,3.0
2015,Ruși,,,,,,,,,,12.0
2015,Evrei,,,,,,,,,,0.0
2015,Ucraineni,,,,,,,,,,12.0
2015,,Bărbați,,,,,,,,,38947.0
2015,,Femei,,,,,,,,,5033.0
2015,,,0-17,,,,,,,,2472.0
2015,,,18+,,,,,,,,41508.0
2015,,,, ,,,,,,,1.0
2015,,,,Mintală,,,,,,,2.0
2015,,,,Intelectuală,,,,,,,2.0
2015,,,,Senzorială,,,,,,,0.0
2015,,,,,Republica Moldova,,,,,,43883.0
2015,,,,,Cetățeni străini,,,,,,97.0
2015,,,,,Apatrizi,,,,,,0.0
2015,,,,,,Protecție temporă,,,,,92.0
2015,,,,,,Protecție umanitară,,,,,2.0
2015,,,,,,Refugiați,,,,,1.0
2015,,,,,,Solicitanți azil,,,,,2.0
2015,,,,,,,Procuratura,,,,4536.0
2015,,,,,,,Inspectoratul de politie,,,,23110.0
2015,,,,,,,Judecătoria,,,,9465.0
2015,,,,,,,Curtea de Apel,,,,3983.0
2015,,,,,,,Curtea Supremă de Justuție,,,,40.0
2015,,,,,,,Alte autorități,,,,2846.0
2015,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,28671.0
2015,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,15309.0
2015,,,,,,,,,Calificată cauze penale,,36124.0
2015,,,,,,,,,Calificată cauze contravenționale,,789.0
2015,,,,,,,,,Calificată cauze civile,,2452.0
2015,,,,,,,,,Urgență cauze penale,,4153.0
2015,,,,,,,,,Urgență cauze contravenționale,,462.0
2015,,,,,,,,,,Total,9813.0
2016,,,,,,,,,,,49560.0
2016,Bulgari,,,,,,,,,,0.0
2016,Romi,,,,,,,,,,0.0
2016,Ruși,,,,,,,,,,1.0
2016,Evrei,,,,,,,,,,0.0
2016,Ucraineni,,,,,,,,,,1.0
2016,,Bărbați,,,,,,,,,43940.0
2016,,Femei,,,,,,,,,5620.0
2016,,,0-17,,,,,,,,2801.0
2016,,,18+,,,,,,,,46759.0
2016,,,, ,,,,,,,0.0
2016,,,,Mintală,,,,,,,21.0
2016,,,,Intelectuală,,,,,,,1.0
2016,,,,Senzorială,,,,,,,0.0
2016,,,,,Republica Moldova,,,,,,49471.0
2016,,,,,Cetățeni străini,,,,,,89.0
2016,,,,,Apatrizi,,,,,,0.0
2016,,,,,,Protecție temporă,,,,,78.0
2016,,,,,,Protecție umanitară,,,,,0.0
2016,,,,,,Refugiați,,,,,2.0
2016,,,,,,Solicitanți azil,,,,,9.0
2016,,,,,,,Procuratura,,,,3585.0
2016,,,,,,,Inspectoratul de politie,,,,25480.0
2016,,,,,,,Judecătoria,,,,13453.0
2016,,,,,,,Curtea de Apel,,,,4267.0
2016,,,,,,,Curtea Supremă de Justuție,,,,72.0
2016,,,,,,,Alte autorități,,,,2703.0
2016,,,,,,,,Indiferent de nivelul de venit (art. 20 legea 198),,,37535.0
2016,,,,,,,,În dependența de nivelul de venit (art. 21 Legea 198),,,17066.0
2016,,,,,,,,,Calificată cauze penale,,40366.0
2016,,,,,,,,,Calificată cauze contravenționale,,1086.0
2016,,,,,,,,,Calificată cauze civile,,2910.0
2016,,,,,,,,,Urgență cauze penale,,4776.0
2016,,,,,,,,,Urgență cauze contravenționale,,422.0
2016,,,,,,,,,,Total,9335.0
2017,,,,,,,,,,,54601.0
2017,Bulgari,,,,,,,,,,0.0
2017,Romi,,,,,,,,,,0.0
2017,Ruși,,,,,,,,,,0.0
2017,Evrei,,,,,,,,,,0.0
2017,Ucraineni,,,,,,,,,,0.0
2017,,Bărbați,,,,,,,,,47988.0
2017,,Femei,,,,,,,,,6613.0
2017,,,0-17,,,,,,,,2864.0
2017,,,18+,,,,,,,,51737.0
2017,,,, ,,,,,,,1.0
2017,,,,Mintală,,,,,,,0.0
2017,,,,Intelectuală,,,,,,,2.0
2017,,,,Senzorială,,,,,,,1.0
2017,,,,,Republica Moldova,,,,,,54535.0
2017,,,,,Cetățeni străini,,,,,,66.0
2017,,,,,Apatrizi,,,,,,0.0
2017,,,,,,Protecție temporă,,,,,36.0
2017,,,,,,Protecție umanitară,,,,,1.0
2017,,,,,,Refugiați,,,,,3.0
2017,,,,,,Solicitanți azil,,,,,26.0
2017,,,,,,,Procuratura,,,,2221.0
2017,,,,,,,Inspectoratul de politie,,,,23996.0
2017,,,,,,,Judecătoria,,,,20039.0
2017,,,,,,,Curtea de Apel,,,,5626.0
