Year,Area of residence,Value
2010,,
2010,Urban,
2010,Rural,
2011,,
2011,Urban,
2011,Rural,
2012,,
2012,Urban,
2012,Rural,
2013,,
2013,Urban,
2013,Rural,
2014,,
2014,Urban,
2014,Rural,
2015,,84.9
2015,Urban,89.0
2015,Rural,83.6
2016,,87.6
2016,Urban,90.6
2016,Rural,86.6
2017,,89.8
2017,Urban,90.6
2017,Rural,89.5
2018,,90.3
2018,Urban,90.4
2018,Rural,90.3
2019,,92.7
2019,Urban,93.0
2019,Rural,92.7
2020,,94.4
2020,Urban,95.9
2020,Rural,93.9
2021,,97.0
2021,Urban,97.8
2021,Rural,96.7
2022,,97.0
2022,Urban,98.1
2022,Rural,96.7
