Year,Mediul de reședință,Sex,Grupa de vârstă,Value
2010,,,,
2010,Urban,,,
2010,Rural,,,
2010,,Bărbați,,
2010,,Femei,,
2010,,,15-24,
2010,,,25-64,
2010,,,65+,
2011,,,,
2011,Urban,,,
2011,Rural,,,
2011,,Bărbați,,
2011,,Femei,,
2011,,,15-24,
2011,,,25-64,
2011,,,65+,
2012,,,,3.9
2012,Urban,,,3.3
2012,Rural,,,4.4
2012,,Bărbați,,2.7
2012,,Femei,,4.8
2012,,,15-24,2.6
2012,,,25-64,4.1
2012,,,65+,4.7
2013,,,,
2013,Urban,,,
2013,Rural,,,
2013,,Bărbați,,
2013,,Femei,,
2013,,,15-24,
2013,,,25-64,
2013,,,65+,
2014,,,,
2014,Urban,,,
2014,Rural,,,
2014,,Bărbați,,
2014,,Femei,,
2014,,,15-24,
2014,,,25-64,
2014,,,65+,
2015,,,,
2015,Urban,,,
2015,Rural,,,
2015,,Bărbați,,
2015,,Femei,,
2015,,,15-24,
2015,,,25-64,
2015,,,65+,
2016,,,,
2016,Urban,,,
2016,Rural,,,
2016,,Bărbați,,
2016,,Femei,,
2016,,,15-24,
2016,,,25-64,
2016,,,65+,
2017,,,,
2017,Urban,,,
2017,Rural,,,
2017,,Bărbați,,
2017,,Femei,,
2017,,,15-24,
2017,,,25-64,
2017,,,65+,
2018,,,,
2018,Urban,,,
2018,Rural,,,
2018,,Bărbați,,
2018,,Femei,,
2018,,,15-24,
2018,,,25-64,
2018,,,65+,
2019,,,,
2019,Urban,,,
2019,Rural,,,
2019,,Bărbați,,
2019,,Femei,,
2019,,,15-24,
2019,,,25-64,
2019,,,65+,
2020,,,,
2020,Urban,,,
2020,Rural,,,
2020,,Bărbați,,
2020,,Femei,,
2020,,,15-24,
2020,,,25-64,
2020,,,65+,
2021,,,,
2021,Urban,,,
2021,Rural,,,
2021,,Bărbați,,
2021,,Femei,,
2021,,,15-24,
2021,,,25-64,
2021,,,65+,
2022,,,,
2022,Urban,,,
2022,Rural,,,
2022,,Bărbați,,
2022,,Femei,,
2022,,,15-24,
2022,,,25-64,
2022,,,65+,
