Value,Disaggregation combinations using this value,Number of indicators
Cadastral offices / services,1,1
Central public authorities,1,1
Civil status offices,1,1
Communal services,1,1
Courts,2,2
Customs,2,2
Educational institutions,1,1
Fire inspections,1,1
Issuing construction permits,1,1
Local public authorities,1,1
Medical institutions,1,1
Notary offices,1,1
Passport offices,1,1
Police,2,2
Prosecution,2,2
Public procurement,1,1
Registration of the transport and issuance of the driving license,1,1
Sanitary-epidemiological inspections,1,1
Tax inspectorates,2,2
Technical overhaul of cars,2,2
Transport registration and driver qualification,1,1
Work inspection,1,1
