Value,Disaggregation combinations using this value,Number of indicators
Circulatory system diseases,1,1
Digestive system diseases ,1,1
Diseases of the eye and its adnexa,1,1
"Endocrine, nutritional and metabolic diseases",1,1
Genitourinary system diseases,1,1
including diabetes mellitus,1,1
including hypertensive disease,1,1
including prophylaxis of rickets and anemia in children,1,1
Influencing factors of the health status and reasons for seeking health services,1,1
Mental and behavioral disorders,1,1
Musculoskeletal system and connective tissue diseases,1,1
Nervous system diseases,1,1
Respiratory system diseases,1,1
