Year,Indicatori,Value
2010,,
2010,Rata fondurilor proprii de nivel I în raport cu total active,16.0
2010,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,29.62
2010,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,29.18
2010,Ponderea creditelor neperformante în totalul creditelor acordate,13.33
2010,Rentabilitatea activelor,0.47
2010,Rata activelor lichide în raport cu pasivele pe termen scurt,50.0
2010,Rata poziției valutare deschise nete la capitalul total reglementat,5.06
2011,,
2011,Rata fondurilor proprii de nivel I în raport cu total active,15.86
2011,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,30.23
2011,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,25.96
2011,Ponderea creditelor neperformante în totalul creditelor acordate,10.66
2011,Rentabilitatea activelor,1.96
2011,Rata activelor lichide în raport cu pasivele pe termen scurt,51.55
2011,Rata poziției valutare deschise nete la capitalul total reglementat,4.83
2012,,
2012,Rata fondurilor proprii de nivel I în raport cu total active,12.01
2012,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,23.96
2012,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,22.72
2012,Ponderea creditelor neperformante în totalul creditelor acordate,14.5
2012,Rentabilitatea activelor,0.81
2012,Rata activelor lichide în raport cu pasivele pe termen scurt,86.44
2012,Rata poziției valutare deschise nete la capitalul total reglementat,2.6
2013,,
2013,Rata fondurilor proprii de nivel I în raport cu total active,10.51
2013,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,22.69
2013,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,16.6
2013,Ponderea creditelor neperformante în totalul creditelor acordate,11.58
2013,Rentabilitatea activelor,1.55
2013,Rata activelor lichide în raport cu pasivele pe termen scurt,76.8
2013,Rata poziției valutare deschise nete la capitalul total reglementat,3.63
2014,,
2014,Rata fondurilor proprii de nivel I în raport cu total active,10.84
2014,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,13.41
2014,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,12.96
2014,Ponderea creditelor neperformante în totalul creditelor acordate,11.73
2014,Rentabilitatea activelor,0.87
2014,Rata activelor lichide în raport cu pasivele pe termen scurt,42.27
2014,Rata poziției valutare deschise nete la capitalul total reglementat,36.03
2015,,
2015,Rata fondurilor proprii de nivel I în raport cu total active,13.1
2015,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,25.39
2015,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,14.38
2015,Ponderea creditelor neperformante în totalul creditelor acordate,9.95
2015,Rentabilitatea activelor,1.72
2015,Rata activelor lichide în raport cu pasivele pe termen scurt,92.47
2015,Rata poziției valutare deschise nete la capitalul total reglementat,8.02
2016,,
2016,Rata fondurilor proprii de nivel I în raport cu total active,12.83
2016,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,28.68
2016,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,15.31
2016,Ponderea creditelor neperformante în totalul creditelor acordate,16.41
2016,Rentabilitatea activelor,1.91
2016,Rata activelor lichide în raport cu pasivele pe termen scurt,104.89
2016,Rata poziției valutare deschise nete la capitalul total reglementat,7.21
2017,,
2017,Rata fondurilor proprii de nivel I în raport cu total active,12.71
2017,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,29.84
2017,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,14.53
2017,Ponderea creditelor neperformante în totalul creditelor acordate,18.38
2017,Rentabilitatea activelor,1.94
2017,Rata activelor lichide în raport cu pasivele pe termen scurt,179.52
2017,Rata poziției valutare deschise nete la capitalul total reglementat,6.37
2018,,
2018,Rata fondurilor proprii de nivel I în raport cu total active,12.893
2018,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,26.264
2018,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,13.404
2018,Ponderea creditelor neperformante în totalul creditelor acordate,12.539
2018,Rentabilitatea activelor,1.9
2018,Rata activelor lichide în raport cu pasivele pe termen scurt,180.719
2018,Rata poziției valutare deschise nete la capitalul total reglementat,-14.049
2019,,
2019,Rata fondurilor proprii de nivel I în raport cu total active,12.554
2019,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,24.967
2019,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,10.474
2019,Ponderea creditelor neperformante în totalul creditelor acordate,8.491
2019,Rentabilitatea activelor,2.473
2019,Rata activelor lichide în raport cu pasivele pe termen scurt,207.369
2019,Rata poziției valutare deschise nete la capitalul total reglementat,-12.609
2020,,
2020,Rata fondurilor proprii de nivel I în raport cu total active,12.964
2020,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,26.904
2020,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,8.584
2020,Ponderea creditelor neperformante în totalul creditelor acordate,7.382
2020,Rentabilitatea activelor,1.657
2020,Rata activelor lichide în raport cu pasivele pe termen scurt,241.799
2020,Rata poziției valutare deschise nete la capitalul total reglementat,-14.284
2021,,
2021,Rata fondurilor proprii de nivel I în raport cu total active,12.447
2021,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,25.191
2021,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,8.555
2021,Ponderea creditelor neperformante în totalul creditelor acordate,6.14
2021,Rentabilitatea activelor,2.014
2021,Rata activelor lichide în raport cu pasivele pe termen scurt,251.082
2021,Rata poziției valutare deschise nete la capitalul total reglementat,-12.884
2022,,
2022,Rata fondurilor proprii de nivel I în raport cu total active,13.543
2022,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,28.541
2022,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,9.086
2022,Ponderea creditelor neperformante în totalul creditelor acordate,6.443
2022,Rentabilitatea activelor,2.893
2022,Rata activelor lichide în raport cu pasivele pe termen scurt,300.16
2022,Rata poziției valutare deschise nete la capitalul total reglementat,-9.816
2023,,
2023,Rata fondurilor proprii de nivel I în raport cu total active,13.108
2023,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,29.108
2023,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,7.798
2023,Ponderea creditelor neperformante în totalul creditelor acordate,5.555
2023,Rentabilitatea activelor,3.265
2023,Rata activelor lichide în raport cu pasivele pe termen scurt,289.787
2023,Rata poziției valutare deschise nete la capitalul total reglementat,-10.04
2024,,
2024,Rata fondurilor proprii de nivel I în raport cu total active,12.406
2024,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,24.994
2024,Rata creditelor neperformante (fără rezerve) in raport cu capitalul total reglementat,6.951
2024,Ponderea creditelor neperformante în totalul creditelor acordate,4.162
2024,Rentabilitatea activelor,2.802
2024,Rata activelor lichide în raport cu pasivele pe termen scurt,296.351
2024,Rata poziției valutare deschise nete la capitalul total reglementat,-8.952
