Year,Gradul de realizare,Value
2010,Integral,
2010,Parțial,
2010,Nerealizat,
2011,Integral,
2011,Parțial,
2011,Nerealizat,
2012,Integral,4.0
2012,Parțial,
2012,Nerealizat,
2013,Integral,13.4
2013,Parțial,
2013,Nerealizat,
2014,Integral,77.4
2014,Parțial,
2014,Nerealizat,
2015,Integral,
2015,Parțial,
2015,Nerealizat,
2016,Integral,6.9
2016,Parțial,
2016,Nerealizat,
2017,Integral,15.6
2017,Parțial,
2017,Nerealizat,
2018,Integral,19.2
2018,Parțial,
2018,Nerealizat,
2019,Integral,37.1
2019,Parțial,
2019,Nerealizat,
2020,Integral,44.0
2020,Parțial,47.0
2020,Nerealizat,9.0
2021,Integral,
2021,Parțial,
2021,Nerealizat,
2022,Integral,
2022,Parțial,
2022,Nerealizat,
