Year,Activități economice,Value
2010,,6.6
2010,"Agricultura, silvicultura și pescuit",10.2
2010,Industria extractivă,21.4
2010,Manufacturing industry,1.7
2010,"Production and supply of electricity and thermal energy, gas and hot water",64.6
2010,Alte activități,2.0
2011,,6.5
2011,"Agricultura, silvicultura și pescuit",10.3
2011,Industria extractivă,21.2
2011,Manufacturing industry,0.6
2011,"Production and supply of electricity and thermal energy, gas and hot water",65.6
2011,Alte activități,1.0
2012,,6.5
2012,"Agricultura, silvicultura și pescuit",10.2
2012,Industria extractivă,21.5
2012,Manufacturing industry,1.8
2012,"Production and supply of electricity and thermal energy, gas and hot water",65.4
2012,Alte activități,1.0
2013,,6.4
2013,"Agricultura, silvicultura și pescuit",10.7
2013,Industria extractivă,20.3
2013,Manufacturing industry,1.8
2013,"Production and supply of electricity and thermal energy, gas and hot water",66.1
2013,Alte activități,1.0
2014,,6.4
2014,"Agricultura, silvicultura și pescuit",10.5
2014,Industria extractivă,20.0
2014,Manufacturing industry,1.9
2014,"Production and supply of electricity and thermal energy, gas and hot water",66.3
2014,Alte activități,1.2
2015,,6.4
2015,"Agricultura, silvicultura și pescuit",10.6
2015,Industria extractivă,20.2
2015,Manufacturing industry,1.9
2015,"Production and supply of electricity and thermal energy, gas and hot water",66.2
2015,Alte activități,1.0
2016,,6.4
2016,"Agricultura, silvicultura și pescuit",10.6
2016,Industria extractivă,20.4
2016,Manufacturing industry,1.8
2016,"Production and supply of electricity and thermal energy, gas and hot water",66.1
2016,Alte activități,1.0
2017,,6.4
2017,"Agricultura, silvicultura și pescuit",10.5
2017,Industria extractivă,20.5
2017,Manufacturing industry,1.9
2017,"Production and supply of electricity and thermal energy, gas and hot water",66.2
2017,Alte activități,1.0
2018,,6.4
2018,"Agricultura, silvicultura și pescuit",10.6
2018,Industria extractivă,20.5
2018,Manufacturing industry,1.3
2018,"Production and supply of electricity and thermal energy, gas and hot water",66.3
2018,Alte activități,1.0
2019,,6.4
2019,"Agricultura, silvicultura și pescuit",10.7
2019,Industria extractivă,20.6
2019,Manufacturing industry,1.3
2019,"Production and supply of electricity and thermal energy, gas and hot water",66.1
2019,Alte activități,1.0
2020,,6.5
2020,"Agricultura, silvicultura și pescuit",11.5
2020,Industria extractivă,20.4
2020,Manufacturing industry,1.3
2020,"Production and supply of electricity and thermal energy, gas and hot water",65.6
2020,Alte activități,1.0
2021,,6.4
2021,"Agricultura, silvicultura și pescuit",11.0
2021,Industria extractivă,20.0
2021,Manufacturing industry,1.3
2021,"Production and supply of electricity and thermal energy, gas and hot water",66.4
2021,Alte activități,1.0
2022,,
2022,"Agricultura, silvicultura și pescuit",
2022,Industria extractivă,
2022,Manufacturing industry,
2022,"Production and supply of electricity and thermal energy, gas and hot water",
2022,Alte activități,
