Year,Level of government,Function type,Value
2010,,,
2010,Central government,,
2010,"Local public authorities, level I",,
2010,"Local public authorities, level II",,
2010,,Senior management,
2010,,"Management, executive",
2011,,,
2011,Central government,,
2011,"Local public authorities, level I",,
2011,"Local public authorities, level II",,
2011,,Senior management,
2011,,"Management, executive",
2012,,,46.6
2012,Central government,,40.8
2012,"Local public authorities, level I",,56.2
2012,"Local public authorities, level II",,61.7
2012,,Senior management,
2012,,"Management, executive",
2013,,,45.7
2013,Central government,,40.1
2013,"Local public authorities, level I",,55.7
2013,"Local public authorities, level II",,61.1
2013,,Senior management,
2013,,"Management, executive",
2014,,,45.4
2014,Central government,,40.1
2014,"Local public authorities, level I",,55.7
2014,"Local public authorities, level II",,61.1
2014,,Senior management,
2014,,"Management, executive",
2015,,,44.3
2015,Central government,,38.1
2015,"Local public authorities, level I",,64.8
2015,"Local public authorities, level II",,66.8
2015,,Senior management,
2015,,"Management, executive",
2016,,,
2016,Central government,,
2016,"Local public authorities, level I",,
2016,"Local public authorities, level II",,
2016,,Senior management,
2016,,"Management, executive",
2017,,,
2017,Central government,,
2017,"Local public authorities, level I",,
2017,"Local public authorities, level II",,
2017,,Senior management,
2017,,"Management, executive",
2018,,,43.0
2018,Central government,,
2018,"Local public authorities, level I",,
2018,"Local public authorities, level II",,
2018,,Senior management,
2018,,"Management, executive",
2019,,,44.6
2019,Central government,,39.9
2019,"Local public authorities, level I",,58.7
2019,"Local public authorities, level II",,64.6
2019,,Senior management,
2019,,"Management, executive",
2020,,,45.3
2020,Central government,,39.9
2020,"Local public authorities, level I",,58.7
2020,"Local public authorities, level II",,63.9
2020,,Senior management,
2020,,"Management, executive",
2021,,,47.0
2021,Central government,,40.2
2021,"Local public authorities, level I",,62.5
2021,"Local public authorities, level II",,65.9
2021,,Senior management,
2021,,"Management, executive",
2022,,,47.8
2022,Central government,,42.0
2022,"Local public authorities, level I",,59.2
2022,"Local public authorities, level II",,66.7
2022,,Senior management,
2022,,"Management, executive",
