Year,Organizații internaționale,Value
2010,Adunarea Generală a ONU (UNGA),0.5
2010,Corporația Financiară Internațională  (IFC),0.5
2010,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.5
2010,Fondul Monetar Internațional (IMF),0.5
2010,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.9
2010,Organizația Mondială a Comerțului (WTO),0.7
2011,Adunarea Generală a ONU (UNGA),0.5
2011,Corporația Financiară Internațională  (IFC),
2011,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),
2011,Fondul Monetar Internațional (IMF),
2011,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.9
2011,Organizația Mondială a Comerțului (WTO),
2012,Adunarea Generală a ONU (UNGA),0.5
2012,Corporația Financiară Internațională  (IFC),
2012,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),
2012,Fondul Monetar Internațional (IMF),
2012,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.9
2012,Organizația Mondială a Comerțului (WTO),
2013,Adunarea Generală a ONU (UNGA),0.5
2013,Corporația Financiară Internațională  (IFC),
2013,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),
2013,Fondul Monetar Internațional (IMF),
2013,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2013,Organizația Mondială a Comerțului (WTO),
2014,Adunarea Generală a ONU (UNGA),0.5
2014,Corporația Financiară Internațională  (IFC),
2014,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),
2014,Fondul Monetar Internațional (IMF),
2014,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2014,Organizația Mondială a Comerțului (WTO),
2015,Adunarea Generală a ONU (UNGA),0.5
2015,Corporația Financiară Internațională  (IFC),0.5
2015,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.5
2015,Fondul Monetar Internațional (IMF),0.5
2015,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2015,Organizația Mondială a Comerțului (WTO),0.6
2016,Adunarea Generală a ONU (UNGA),0.5
2016,Corporația Financiară Internațională  (IFC),0.5
2016,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.5
2016,Fondul Monetar Internațional (IMF),0.5
2016,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.9
2016,Organizația Mondială a Comerțului (WTO),0.6
2017,Adunarea Generală a ONU (UNGA),0.5
2017,Corporația Financiară Internațională  (IFC),0.5
2017,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.5
2017,Fondul Monetar Internațional (IMF),0.5
2017,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.9
2017,Organizația Mondială a Comerțului (WTO),0.6
2018,Adunarea Generală a ONU (UNGA),0.5
2018,Corporația Financiară Internațională  (IFC),0.5
2018,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.5
2018,Fondul Monetar Internațional (IMF),0.5
2018,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),1.9
2018,Organizația Mondială a Comerțului (WTO),0.6
2019,Adunarea Generală a ONU (UNGA),0.5
2019,Corporația Financiară Internațională  (IFC),0.5
2019,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.5
2019,Fondul Monetar Internațional (IMF),0.5
2019,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2019,Organizația Mondială a Comerțului (WTO),0.6
2020,Adunarea Generală a ONU (UNGA),0.5
2020,Corporația Financiară Internațională  (IFC),0.5
2020,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.5
2020,Fondul Monetar Internațional (IMF),0.5
2020,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2020,Organizația Mondială a Comerțului (WTO),0.6
2021,Adunarea Generală a ONU (UNGA),0.5
2021,Corporația Financiară Internațională  (IFC),0.5
2021,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),0.5
2021,Fondul Monetar Internațional (IMF),0.5
2021,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2021,Organizația Mondială a Comerțului (WTO),0.6
2022,Adunarea Generală a ONU (UNGA),
2022,Corporația Financiară Internațională  (IFC),
2022,Banca Internațională pentru Reconstrucție și Dezvoltare (IBRD),
2022,Fondul Monetar Internațional (IMF),
2022,Consiliul Economic și Social al Organizației Națiunilor Unite (ECOSOC),
2022,Organizația Mondială a Comerțului (WTO),
