Year,Mediu de reședință,Nivele de educație,Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,Primare,
2010,,Mediu general,
2010,,Gimnazial,
2011,,,
2011,Urban,,
2011,Rural,,
2011,,Primare,
2011,,Mediu general,
2011,,Gimnazial,
2012,,,
2012,Urban,,
2012,Rural,,
2012,,Primare,
2012,,Mediu general,
2012,,Gimnazial,
2013,,,
2013,Urban,,
2013,Rural,,
2013,,Primare,
2013,,Mediu general,
2013,,Gimnazial,
2014,,,
2014,Urban,,
2014,Rural,,
2014,,Primare,
2014,,Mediu general,
2014,,Gimnazial,
2015,,,
2015,Urban,,
2015,Rural,,
2015,,Primare,
2015,,Mediu general,
2015,,Gimnazial,
2016,,,
2016,Urban,,
2016,Rural,,
2016,,Primare,
2016,,Mediu general,
2016,,Gimnazial,
2017,,,
2017,Urban,,
2017,Rural,,
2017,,Primare,
2017,,Mediu general,
2017,,Gimnazial,
2018,,,
2018,Urban,,
2018,Rural,,
2018,,Primare,
2018,,Mediu general,
2018,,Gimnazial,
2019,,,
2019,Urban,,
2019,Rural,,
2019,,Primare,
2019,,Mediu general,
2019,,Gimnazial,
2020,,,
2020,Urban,,
2020,Rural,,
2020,,Primare,
2020,,Mediu general,
2020,,Gimnazial,
2021,,,
2021,Urban,,
2021,Rural,,
2021,,Primare,
2021,,Mediu general,
2021,,Gimnazial,
2022,,,90.0
2022,Urban,,90.0
2022,Rural,,89.9
2022,,Primare,87.9
2022,,Mediu general,91.8
2022,,Gimnazial,86.1
2023,,,93.4
2023,Urban,,92.3
2023,Rural,,93.7
2023,,Primare,92.3
2023,,Mediu general,95.3
2023,,Gimnazial,89.2
2024,,,97.0
2024,Urban,,95.5
2024,Rural,,97.5
2024,,Primare,93.1
2024,,Mediu general,96.9
2024,,Gimnazial,98.1
2025,,,98.0
2025,Urban,,95.7
2025,Rural,,97.6
2025,,Primare,94.2
2025,,Mediu general,97.2
2025,,Gimnazial,98.3
