Year,Sex,Area of residence,Value
2010,,,
2010,Men,,
2010,Women,,
2010,,Urban,
2010,,Rural,
2011,,,
2011,Men,,
2011,Women,,
2011,,Urban,
2011,,Rural,
2012,,,
2012,Men,,
2012,Women,,
2012,,Urban,
2012,,Rural,
2013,,,25.3
2013,Men,,43.6
2013,Women,,5.6
2013,,Urban,27.0
2013,,Rural,23.9
2014,,,
2014,Men,,
2014,Women,,
2014,,Urban,
2014,,Rural,
2015,,,
2015,Men,,
2015,Women,,
2015,,Urban,
2015,,Rural,
2016,,,
2016,Men,,
2016,Women,,
2016,,Urban,
2016,,Rural,
2017,,,
2017,Men,,
2017,Women,,
2017,,Urban,
2017,,Rural,
2018,,,
2018,Men,,
2018,Women,,
2018,,Urban,
2018,,Rural,
2019,,,
2019,Men,,
2019,Women,,
2019,,Urban,
2019,,Rural,
2020,,,
2020,Men,,
2020,Women,,
2020,,Urban,
2020,,Rural,
2021,,,27.6
2021,Men,,48.9
2021,Women,,6.3
2021,,Urban,31.2
2021,,Rural,23.8
2022,,,
2022,Men,,
2022,Women,,
2022,,Urban,
2022,,Rural,
