Year,Urban,Rural,Men,Women,0-17,18-29,30-39,40-49,50-59,60+,Higher,Vocational,General secondary,Primary or less,Employees,Self-employers in agriculture,Self-employers in non-agricultural activities,Pensioners,Others,Value
2010,,,,,,,,,,,,,,,,,,,,
2010,Area of residence,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,Sex,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,Age group,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,Education level,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,Employment status,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,Area of residence,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,Sex,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,Age group,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,Education level,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,Employment status,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,Area of residence,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,Sex,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,Age group,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,Education level,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,Employment status,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,
