Year,"Reported on a person, by sources","Reported on a person, by ingredients","Quantity of emissions, total","Quantity of emissions, by sources","Quantity of emissions, by ingredients",Value
2010,,,,,,
2010,Auto,,,,,
2010,Railway,,,,,
2010,Air,,,,,
2010,,Carbon monoxide,,,,
2010,,Nitrogen dioxide,,,,
2010,,Sulphur dioxide,,,,
2010,,Hydrocarbs,,,,
2010,,Aldehydes,,,,
2010,,Solids,,,,
2010,,,Total,,,154.8
2010,,,,Auto,,146.5
2010,,,,Railway,,1.6
2010,,,,Air,,6.7
2010,,,,,Carbon monoxide,109.2
2010,,,,,Nitrogen dioxide,15.8
2010,,,,,Sulphur dioxide,3.9
2010,,,,,Hydrocarbs,15.0
2010,,,,,Aldehydes,8.3
2010,,,,,Solids,2.6
2011,,,,,,
2011,Auto,,,,,
2011,Railway,,,,,
2011,Air,,,,,
2011,,Carbon monoxide,,,,
2011,,Nitrogen dioxide,,,,
2011,,Sulphur dioxide,,,,
2011,,Hydrocarbs,,,,
2011,,Aldehydes,,,,
2011,,Solids,,,,
2011,,,Total,,,188.7
2011,,,,Auto,,174.8
2011,,,,Railway,,4.0
2011,,,,Air,,9.9
2011,,,,,Carbon monoxide,134.7
2011,,,,,Nitrogen dioxide,18.4
2011,,,,,Sulphur dioxide,4.5
2011,,,,,Hydrocarbs,21.0
2011,,,,,Aldehydes,7.4
2011,,,,,Solids,2.7
2012,,,,,,
2012,Auto,,,,,
2012,Railway,,,,,
2012,Air,,,,,
2012,,Carbon monoxide,,,,
2012,,Nitrogen dioxide,,,,
2012,,Sulphur dioxide,,,,
2012,,Hydrocarbs,,,,
2012,,Aldehydes,,,,
2012,,Solids,,,,
2012,,,Total,,,154.2
2012,,,,Auto,,140.1
2012,,,,Railway,,2.7
2012,,,,Air,,11.4
2012,,,,,Carbon monoxide,118.3
2012,,,,,Nitrogen dioxide,14.3
2012,,,,,Sulphur dioxide,3.3
2012,,,,,Hydrocarbs,15.1
2012,,,,,Aldehydes,1.0
2012,,,,,Solids,2.0
2013,,,,,,
2013,Auto,,,,,
2013,Railway,,,,,
2013,Air,,,,,
2013,,Carbon monoxide,,,,
2013,,Nitrogen dioxide,,,,
2013,,Sulphur dioxide,,,,
2013,,Hydrocarbs,,,,
2013,,Aldehydes,,,,
2013,,Solids,,,,
2013,,,Total,,,226.6
2013,,,,Auto,,213.1
2013,,,,Railway,,2.8
2013,,,,Air,,10.7
2013,,,,,Carbon monoxide,165.1
2013,,,,,Nitrogen dioxide,24.9
2013,,,,,Sulphur dioxide,6.7
2013,,,,,Hydrocarbs,24.2
2013,,,,,Aldehydes,1.7
2013,,,,,Solids,4.0
2014,,,,,,68.0
2014,Auto,,,,,62.6
2014,Railway,,,,,0.9
2014,Air,,,,,4.5
2014,,Carbon monoxide,,,,52.2
2014,,Nitrogen dioxide,,,,5.6
2014,,Sulphur dioxide,,,,1.2
2014,,Hydrocarbs,,,,7.8
2014,,Aldehydes,,,,0.3
2014,,Solids,,,,0.9
2014,,,Total,,,194.3
2014,,,,Auto,,179.0
2014,,,,Railway,,2.7
2014,,,,Air,,12.6
2014,,,,,Carbon monoxide,149.2
2014,,,,,Nitrogen dioxide,16.0
2014,,,,,Sulphur dioxide,3.5
2014,,,,,Hydrocarbs,22.4
2014,,,,,Aldehydes,1.0
2014,,,,,Solids,2.2
2015,,,,,,68.5
2015,Auto,,,,,63.1
2015,Railway,,,,,1.0
2015,Air,,,,,4.4
2015,,Carbon monoxide,,,,52.6
2015,,Nitrogen dioxide,,,,5.6
2015,,Sulphur dioxide,,,,1.2
2015,,Hydrocarbs,,,,7.9
2015,,Aldehydes,,,,0.4
2015,,Solids,,,,0.8
2015,,,Total,,,194.3
2015,,,,Auto,,178.9
2015,,,,Railway,,2.7
2015,,,,Air,,12.6
2015,,,,,Carbon monoxide,149.2
2015,,,,,Nitrogen dioxide,16.0
2015,,,,,Sulphur dioxide,3.5
2015,,,,,Hydrocarbs,22.4
2015,,,,,Aldehydes,1.0
2015,,,,,Solids,2.2
2016,,,,,,71.9
2016,Auto,,,,,59.2
2016,Railway,,,,,1.0
2016,Air,,,,,11.7
2016,,Carbon monoxide,,,,51.7
2016,,Nitrogen dioxide,,,,7.1
2016,,Sulphur dioxide,,,,1.8
