Year,Ethnicity,Sex,Age group,Disability,Citizenship,Beneficiary status - foreign citizen,Requested authority,Legal basis,Type of qualified assistance,Primary care,Value
2010,,,,,,,,,,,23007.0
2010,Bulgarians,,,,,,,,,,
2010,Roma,,,,,,,,,,
2010,Russians,,,,,,,,,,
2010,Jews,,,,,,,,,,
2010,Ukrainians,,,,,,,,,,
2010,,Men,,,,,,,,,20526.0
2010,,Women,,,,,,,,,2481.0
2010,,,0-17,,,,,,,,1487.0
2010,,,18+,,,,,,,,21520.0
2010,,,, ,,,,,,,
2010,,,,Mental,,,,,,,
2010,,,,Intellectual,,,,,,,
2010,,,,Sensory,,,,,,,
2010,,,,,Republic of Moldova,,,,,,
2010,,,,,Foreign citizenship,,,,,,
2010,,,,,Stateless,,,,,,
2010,,,,,,Temporary protection,,,,,
2010,,,,,,Humanitarian protection,,,,,
2010,,,,,,Refugees,,,,,
2010,,,,,,Asylum seekers,,,,,
2010,,,,,,,Prosecution,,,,
2010,,,,,,,Police inspectorate,,,,
2010,,,,,,,Court,,,,
2010,,,,,,,Court of Appeal,,,,
2010,,,,,,,Supreme Court of Justice,,,,
2010,,,,,,,Other authorities,,,,
2010,,,,,,,,Regardless of income level (art. 20 law 198),,,
2010,,,,,,,,Depending on the income level (art. 21 law 198),,,
2010,,,,,,,,,Qualified criminal cases,,
2010,,,,,,,,,Qualified contravention cases,,
2010,,,,,,,,,Qualified civil cases,,
2010,,,,,,,,,Emergency criminal cases,,
2010,,,,,,,,,Emergency contravention cases,,
2010,,,,,,,,,,Total,
2011,,,,,,,,,,,27547.0
2011,Bulgarians,,,,,,,,,,
2011,Roma,,,,,,,,,,
2011,Russians,,,,,,,,,,
2011,Jews,,,,,,,,,,
2011,Ukrainians,,,,,,,,,,
2011,,Men,,,,,,,,,24998.0
2011,,Women,,,,,,,,,2549.0
2011,,,0-17,,,,,,,,1344.0
2011,,,18+,,,,,,,,26203.0
2011,,,, ,,,,,,,
2011,,,,Mental,,,,,,,
2011,,,,Intellectual,,,,,,,
2011,,,,Sensory,,,,,,,
2011,,,,,Republic of Moldova,,,,,,
2011,,,,,Foreign citizenship,,,,,,
2011,,,,,Stateless,,,,,,
2011,,,,,,Temporary protection,,,,,
2011,,,,,,Humanitarian protection,,,,,
2011,,,,,,Refugees,,,,,
2011,,,,,,Asylum seekers,,,,,
2011,,,,,,,Prosecution,,,,
2011,,,,,,,Police inspectorate,,,,
2011,,,,,,,Court,,,,
2011,,,,,,,Court of Appeal,,,,
2011,,,,,,,Supreme Court of Justice,,,,
2011,,,,,,,Other authorities,,,,
2011,,,,,,,,Regardless of income level (art. 20 law 198),,,
2011,,,,,,,,Depending on the income level (art. 21 law 198),,,
2011,,,,,,,,,Qualified criminal cases,,
2011,,,,,,,,,Qualified contravention cases,,
2011,,,,,,,,,Qualified civil cases,,
2011,,,,,,,,,Emergency criminal cases,,
2011,,,,,,,,,Emergency contravention cases,,
2011,,,,,,,,,,Total,
2012,,,,,,,,,,,34190.0
2012,Bulgarians,,,,,,,,,,
2012,Roma,,,,,,,,,,
2012,Russians,,,,,,,,,,
2012,Jews,,,,,,,,,,
2012,Ukrainians,,,,,,,,,,
2012,,Men,,,,,,,,,30954.0
2012,,Women,,,,,,,,,3236.0
2012,,,0-17,,,,,,,,2021.0
2012,,,18+,,,,,,,,32169.0
2012,,,, ,,,,,,,
2012,,,,Mental,,,,,,,
2012,,,,Intellectual,,,,,,,
2012,,,,Sensory,,,,,,,
2012,,,,,Republic of Moldova,,,,,,
2012,,,,,Foreign citizenship,,,,,,
2012,,,,,Stateless,,,,,,
2012,,,,,,Temporary protection,,,,,
2012,,,,,,Humanitarian protection,,,,,
2012,,,,,,Refugees,,,,,
2012,,,,,,Asylum seekers,,,,,
2012,,,,,,,Prosecution,,,,
2012,,,,,,,Police inspectorate,,,,
2012,,,,,,,Court,,,,
2012,,,,,,,Court of Appeal,,,,
2012,,,,,,,Supreme Court of Justice,,,,
2012,,,,,,,Other authorities,,,,
2012,,,,,,,,Regardless of income level (art. 20 law 198),,,
2012,,,,,,,,Depending on the income level (art. 21 law 198),,,
2012,,,,,,,,,Qualified criminal cases,,
2012,,,,,,,,,Qualified contravention cases,,
2012,,,,,,,,,Qualified civil cases,,
2012,,,,,,,,,Emergency criminal cases,,
2012,,,,,,,,,Emergency contravention cases,,
2012,,,,,,,,,,Total,
2013,,,,,,,,,,,37007.0
2013,Bulgarians,,,,,,,,,,10.0
2013,Roma,,,,,,,,,,2.0
2013,Russians,,,,,,,,,,19.0
2013,Jews,,,,,,,,,,1.0
2013,Ukrainians,,,,,,,,,,11.0
2013,,Men,,,,,,,,,32905.0
2013,,Women,,,,,,,,,4102.0
2013,,,0-17,,,,,,,,2310.0
2013,,,18+,,,,,,,,34697.0
2013,,,, ,,,,,,,4.0
2013,,,,Mental,,,,,,,3.0
2013,,,,Intellectual,,,,,,,3.0
2013,,,,Sensory,,,,,,,1.0
2013,,,,,Republic of Moldova,,,,,,36993.0
2013,,,,,Foreign citizenship,,,,,,14.0
2013,,,,,Stateless,,,,,,0.0
2013,,,,,,Temporary protection,,,,,5.0
2013,,,,,,Humanitarian protection,,,,,0.0
2013,,,,,,Refugees,,,,,0.0
2013,,,,,,Asylum seekers,,,,,9.0
2013,,,,,,,Prosecution,,,,3796.0
2013,,,,,,,Police inspectorate,,,,17997.0
2013,,,,,,,Court,,,,8081.0
2013,,,,,,,Court of Appeal,,,,3606.0
2013,,,,,,,Supreme Court of Justice,,,,406.0
2013,,,,,,,Other authorities,,,,3121.0
2013,,,,,,,,Regardless of income level (art. 20 law 198),,,27032.0
2013,,,,,,,,Depending on the income level (art. 21 law 198),,,9975.0
2013,,,,,,,,,Qualified criminal cases,,
2013,,,,,,,,,Qualified contravention cases,,
2013,,,,,,,,,Qualified civil cases,,
2013,,,,,,,,,Emergency criminal cases,,
2013,,,,,,,,,Emergency contravention cases,,
2013,,,,,,,,,,Total,
2014,,,,,,,,,,,43147.0
2014,Bulgarians,,,,,,,,,,25.0
2014,Roma,,,,,,,,,,2.0
2014,Russians,,,,,,,,,,80.0
2014,Jews,,,,,,,,,,0.0
2014,Ukrainians,,,,,,,,,,42.0
2014,,Men,,,,,,,,,38087.0
2014,,Women,,,,,,,,,5060.0
2014,,,0-17,,,,,,,,2679.0
2014,,,18+,,,,,,,,40468.0
2014,,,, ,,,,,,,5.0
2014,,,,Mental,,,,,,,3.0
