Year,Urban,Rural,Men,Women,<30,30-39,40-49,50-59,60-64,65+,I,II,III,IV,V,With children up to 18 years,Without children up to 18 years,Value
2010,,,,,,,,,,,,,,,,,,
2010,Area of residence,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,Sex of the head of the household,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,"Age groups of head of household, years",,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,Household type,,
2010,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,Area of residence,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,Sex of the head of the household,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,"Age groups of head of household, years",,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,Household type,,
2011,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,Area of residence,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,Sex of the head of the household,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,"Age groups of head of household, years",,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,Quintiles on consumption expenditures,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,Household type,,
2012,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,Area of residence,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,Sex of the head of the household,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,"Age groups of head of household, years",,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
