Year,Sex,Tipul drepturilor asupra terenurilor,Value
2010,,,
2010,Bărbați,,
2010,Femei,,
2010,,xxx,
2010,,xxx,
2011,,,
2011,Bărbați,,
2011,Femei,,
2011,,xxx,
2011,,xxx,
2012,,,
2012,Bărbați,,
2012,Femei,,
2012,,xxx,
2012,,xxx,
2013,,,
2013,Bărbați,,
2013,Femei,,
2013,,xxx,
2013,,xxx,
2014,,,
2014,Bărbați,,
2014,Femei,,
2014,,xxx,
2014,,xxx,
2015,,,
2015,Bărbați,,
2015,Femei,,
2015,,xxx,
2015,,xxx,
2016,,,
2016,Bărbați,,
2016,Femei,,
2016,,xxx,
2016,,xxx,
2017,,,
2017,Bărbați,,
2017,Femei,,
2017,,xxx,
2017,,xxx,
2018,,,
2018,Bărbați,,
2018,Femei,,
2018,,xxx,
2018,,xxx,
2019,,,
2019,Bărbați,,
2019,Femei,,
2019,,xxx,
2019,,xxx,
2020,,,
2020,Bărbați,,
2020,Femei,,
2020,,xxx,
2020,,xxx,
2021,,,
2021,Bărbați,,
2021,Femei,,
2021,,xxx,
2021,,xxx,
2022,,,
2022,Bărbați,,
2022,Femei,,
2022,,xxx,
2022,,xxx,
