Year,Grupa de vârstă / Sex,Value
2010,,
2010,15-24 ani / Ambele sexe,
2010,15-24  ani / Bărbați,
2010,15-24 ani  / Femei,
2010,15-29 ani  / Ambele sexe,
2010,15-29 ani  / Bărbați,
2010,15-29  ani / Femei,
2010,15-34 ani  / Ambele sexe,
2010,15-34 ani  / Bărbați,
2010,15-34 ani  / Femei,
2011,,
2011,15-24 ani / Ambele sexe,
2011,15-24  ani / Bărbați,
2011,15-24 ani  / Femei,
2011,15-29 ani  / Ambele sexe,
2011,15-29 ani  / Bărbați,
2011,15-29  ani / Femei,
2011,15-34 ani  / Ambele sexe,
2011,15-34 ani  / Bărbați,
2011,15-34 ani  / Femei,
2012,,
2012,15-24 ani / Ambele sexe,
2012,15-24  ani / Bărbați,
2012,15-24 ani  / Femei,
2012,15-29 ani  / Ambele sexe,
2012,15-29 ani  / Bărbați,
2012,15-29  ani / Femei,
2012,15-34 ani  / Ambele sexe,
2012,15-34 ani  / Bărbați,
2012,15-34 ani  / Femei,
2013,,
2013,15-24 ani / Ambele sexe,
2013,15-24  ani / Bărbați,
2013,15-24 ani  / Femei,
2013,15-29 ani  / Ambele sexe,
2013,15-29 ani  / Bărbați,
2013,15-29  ani / Femei,
2013,15-34 ani  / Ambele sexe,
2013,15-34 ani  / Bărbați,
2013,15-34 ani  / Femei,
2014,,
2014,15-24 ani / Ambele sexe,27.9
2014,15-24  ani / Bărbați,29.8
2014,15-24 ani  / Femei,25.7
2014,15-29 ani  / Ambele sexe,36.2
2014,15-29 ani  / Bărbați,35.2
2014,15-29  ani / Femei,37.4
2014,15-34 ani  / Ambele sexe,38.4
2014,15-34 ani  / Bărbați,36.6
2014,15-34 ani  / Femei,40.2
2015,,
2015,15-24 ani / Ambele sexe,27.7
2015,15-24  ani / Bărbați,29.6
2015,15-24 ani  / Femei,25.6
2015,15-29 ani  / Ambele sexe,36.3
2015,15-29 ani  / Bărbați,35.8
2015,15-29  ani / Femei,37.0
2015,15-34 ani  / Ambele sexe,38.9
2015,15-34 ani  / Bărbați,37.9
2015,15-34 ani  / Femei,40.0
2016,,
2016,15-24 ani / Ambele sexe,26.8
2016,15-24  ani / Bărbați,28.8
2016,15-24 ani  / Femei,24.6
2016,15-29 ani  / Ambele sexe,35.0
2016,15-29 ani  / Bărbați,34.7
2016,15-29  ani / Femei,35.3
2016,15-34 ani  / Ambele sexe,37.8
2016,15-34 ani  / Bărbați,36.7
2016,15-34 ani  / Femei,39.0
2017,,
2017,15-24 ani / Ambele sexe,19.4
2017,15-24  ani / Bărbați,16.6
2017,15-24 ani  / Femei,22.5
2017,15-29 ani  / Ambele sexe,26.4
2017,15-29 ani  / Bărbați,20.1
2017,15-29  ani / Femei,33.4
2017,15-34 ani  / Ambele sexe,29.4
2017,15-34 ani  / Bărbați,22.2
2017,15-34 ani  / Femei,36.9
2018,,
2018,15-24 ani / Ambele sexe,16.2
2018,15-24  ani / Bărbați,14.6
2018,15-24 ani  / Femei,17.9
2018,15-29 ani  / Ambele sexe,23.9
2018,15-29 ani  / Bărbați,18.1
2018,15-29  ani / Femei,30.2
2018,15-34 ani  / Ambele sexe,27.1
2018,15-34 ani  / Bărbați,20.2
2018,15-34 ani  / Femei,34.1
2019,,
2019,15-24 ani / Ambele sexe,19.5
2019,15-24  ani / Bărbați,16.5
2019,15-24 ani  / Femei,22.8
2019,15-29 ani  / Ambele sexe,27.4
2019,15-29 ani  / Bărbați,19.4
2019,15-29  ani / Femei,35.5
2019,15-34 ani  / Ambele sexe,30.8
2019,15-34 ani  / Bărbați,21.2
2019,15-34 ani  / Femei,40.3
2020,,
2020,15-24 ani / Ambele sexe,17.6
2020,15-24  ani / Bărbați,15.6
2020,15-24 ani  / Femei,19.7
2020,15-29 ani  / Ambele sexe,26.0
2020,15-29 ani  / Bărbați,19.6
2020,15-29  ani / Femei,32.5
2020,15-34 ani  / Ambele sexe,31.2
2020,15-34 ani  / Bărbați,22.9
2020,15-34 ani  / Femei,39.4
2021,,
2021,15-24 ani / Ambele sexe,17.2
2021,15-24  ani / Bărbați,14.1
2021,15-24 ani  / Femei,20.4
2021,15-29 ani  / Ambele sexe,26.4
2021,15-29 ani  / Bărbați,18.8
2021,15-29  ani / Femei,33.9
2021,15-34 ani  / Ambele sexe,30.4
2021,15-34 ani  / Bărbați,20.6
2021,15-34 ani  / Femei,39.9
2022,,
2022,15-24 ani / Ambele sexe,17.204
2022,15-24  ani / Bărbați,13.546
2022,15-24 ani  / Femei,20.817
2022,15-29 ani  / Ambele sexe,26.153
2022,15-29 ani  / Bărbați,17.461
2022,15-29  ani / Femei,34.637
2022,15-34 ani  / Ambele sexe,29.718
2022,15-34 ani  / Bărbați,19.456
2022,15-34 ani  / Femei,39.366
2023,,
2023,15-24 ani / Ambele sexe,13.828
2023,15-24  ani / Bărbați,11.515
2023,15-24 ani  / Femei,16.08
2023,15-29 ani  / Ambele sexe,23.073
2023,15-29 ani  / Bărbați,15.322
2023,15-29  ani / Femei,30.275
2023,15-34 ani  / Ambele sexe,27.611
2023,15-34 ani  / Bărbați,19.307
2023,15-34 ani  / Femei,35.17
