Year,Sex,Age group,Mediul de reședință,Value
2010,,,,
2010,Bărbați,,,
2010,Femei,,,
2010,,<=50,,
2010,,50-54,,
2010,,55-59,,
2010,,60-64,,
2010,,65+,,
2010,,,Urban,
2010,,,Rural,
2011,,,,
2011,Bărbați,,,
2011,Femei,,,
2011,,<=50,,
2011,,50-54,,
2011,,55-59,,
2011,,60-64,,
2011,,65+,,
2011,,,Urban,
2011,,,Rural,
2012,,,,
2012,Bărbați,,,
2012,Femei,,,
2012,,<=50,,
2012,,50-54,,
2012,,55-59,,
2012,,60-64,,
2012,,65+,,
2012,,,Urban,
2012,,,Rural,
2013,,,,
2013,Bărbați,,,
2013,Femei,,,
2013,,<=50,,
2013,,50-54,,
2013,,55-59,,
2013,,60-64,,
2013,,65+,,
2013,,,Urban,
2013,,,Rural,
2014,,,,93.8
2014,Bărbați,,,88.6
2014,Femei,,,96.1
2014,,<=50,,0.0
2014,,50-54,,0.2
2014,,55-59,,29.7
2014,,60-64,,73.2
2014,,65+,,96.0
2014,,,Urban,
2014,,,Rural,
2015,,,,94.1
2015,Bărbați,,,88.7
2015,Femei,,,96.6
2015,,<=50,,0.0
2015,,50-54,,0.2
2015,,55-59,,30.1
2015,,60-64,,73.6
2015,,65+,,95.5
2015,,,Urban,
2015,,,Rural,
2016,,,,94.5
2016,Bărbați,,,89.0
2016,Femei,,,97.1
2016,,<=50,,0.0
2016,,50-54,,0.2
2016,,55-59,,31.1
2016,,60-64,,74.0
2016,,65+,,95.4
2016,,,Urban,
2016,,,Rural,
2017,,,,92.8
2017,Bărbați,,,86.7
2017,Femei,,,95.6
2017,,<=50,,0.0
2017,,50-54,,0.2
2017,,55-59,,28.1
2017,,60-64,,73.4
2017,,65+,,95.2
2017,,,Urban,
2017,,,Rural,
2018,,,,93.5
2018,Bărbați,,,83.6
2018,Femei,,,98.4
2018,,<=50,,0.0
2018,,50-54,,0.0
2018,,55-59,,23.0
2018,,60-64,,71.2
2018,,65+,,94.7
2018,,,Urban,
2018,,,Rural,
2019,,,,93.9
2019,Bărbați,,,89.0
2019,Femei,,,96.1
2019,,<=50,,0.0
2019,,50-54,,0.0
2019,,55-59,,17.5
2019,,60-64,,68.9
2019,,65+,,95.3
2019,,,Urban,
2019,,,Rural,
2020,,,,95.4
2020,Bărbați,,,88.7
2020,Femei,,,98.6
2020,,<=50,,0.0
2020,,50-54,,0.0
2020,,55-59,,11.3
2020,,60-64,,68.4
2020,,65+,,95.5
2020,,,Urban,
2020,,,Rural,
2021,,,,93.7
2021,Bărbați,,,89.0
2021,Femei,,,95.9
2021,,<=50,,0.0
2021,,50-54,,0.0
2021,,55-59,,6.1
2021,,60-64,,68.3
2021,,65+,,95.7
2021,,,Urban,
2021,,,Rural,
2022,,,,94.6
2022,Bărbați,,,92.5
2022,Femei,,,95.6
2022,,<=50,,0.0
2022,,50-54,,0.0
2022,,55-59,,0.7
2022,,60-64,,67.5
2022,,65+,,99.8
2022,,,Urban,
2022,,,Rural,
