Year,Medii de reședință,"Quintila I, pe medii ",Value
2010.0,,,
2010.0,Urban,,
2010.0,Rural,,
2010.0,,"Total, quintila I",
2010.0,,"Urban, quintila I",
2010.0,,"Rural, quintila I",
2011.0,,,
2011.0,Urban,,
2011.0,Rural,,
2011.0,,"Total, quintila I",
2011.0,,"Urban, quintila I",
2011.0,,"Rural, quintila I",
2012.0,,,
2012.0,Urban,,
2012.0,Rural,,
2012.0,,"Total, quintila I",
2012.0,,"Urban, quintila I",
2012.0,,"Rural, quintila I",
2013.0,,,
2013.0,Urban,,
2013.0,Rural,,
2013.0,,"Total, quintila I",
2013.0,,"Urban, quintila I",
2013.0,,"Rural, quintila I",
2014.0,,,3.9
2014.0,Urban,,1.9
2014.0,Rural,,5.4
2014.0,,"Total, quintila I",10.0
2014.0,,"Urban, quintila I",10.7
2014.0,,"Rural, quintila I",9.9
2015.0,,,5.3
2015.0,Urban,,1.6
2015.0,Rural,,7.9
2015.0,,"Total, quintila I",14.4
2015.0,,"Urban, quintila I",8.1
2015.0,,"Rural, quintila I",15.4
2016.0,,,6.9
2016.0,Urban,,2.4
2016.0,Rural,,10.1
2016.0,,"Total, quintila I",17.6
2016.0,,"Urban, quintila I",17.7
2016.0,,"Rural, quintila I",17.6
2017.0,,,8.3
2017.0,Urban,,2.9
2017.0,Rural,,12.0
2017.0,,"Total, quintila I",21.5
2017.0,,"Urban, quintila I",13.7
2017.0,,"Rural, quintila I",22.6
2018.0,,,7.1
2018.0,Urban,,2.6
2018.0,Rural,,10.3
2018.0,,"Total, quintila I",20.7
2018.0,,"Urban, quintila I",13.4
2018.0,,"Rural, quintila I",21.9
2019.0,,,3.0
2019.0,Urban,,0.6
2019.0,Rural,,4.6
2019.0,,"Total, quintila I",9.3
2019.0,,"Urban, quintila I",2.9
2019.0,,"Rural, quintila I",10.4
2020.0,,,3.9
2020.0,Urban,,1.7
2020.0,Rural,,5.3
2020.0,,"Total, quintila I",10.3
2020.0,,"Urban, quintila I",11.4
2020.0,,"Rural, quintila I",10.1
2021.0,,,3.9
2021.0,Urban,,1.8
2021.0,Rural,,5.3
2021.0,,"Total, quintila I",10.7
2021.0,,"Urban, quintila I",11.8
2021.0,,"Rural, quintila I",10.5
2022.0,,,
2022.0,Urban,,
2022.0,Rural,,
2022.0,,"Total, quintila I",
2022.0,,"Urban, quintila I",
2022.0,,"Rural, quintila I",
,,,
,Urban,,
,Rural,,
,,"Total, quintila I",
,,"Urban, quintila I",
,,"Rural, quintila I",
,,,
,Urban,,
,Rural,,
,,"Total, quintila I",
,,"Urban, quintila I",
,,"Rural, quintila I",
