Year,Area of residence,"Quintile I, by area of residence",Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,"Total, quintile I",
2010,,"Urban, quintile I",
2010,,"Rural, quintile I",
2011,,,
2011,Urban,,
2011,Rural,,
2011,,"Total, quintile I",
2011,,"Urban, quintile I",
2011,,"Rural, quintile I",
2012,,,
2012,Urban,,
2012,Rural,,
2012,,"Total, quintile I",
2012,,"Urban, quintile I",
2012,,"Rural, quintile I",
2013,,,
2013,Urban,,
2013,Rural,,
2013,,"Total, quintile I",
2013,,"Urban, quintile I",
2013,,"Rural, quintile I",
2014,,,3.9
2014,Urban,,1.9
2014,Rural,,5.4
2014,,"Total, quintile I",10.0
2014,,"Urban, quintile I",10.7
2014,,"Rural, quintile I",9.9
2015,,,5.3
2015,Urban,,1.6
2015,Rural,,7.9
2015,,"Total, quintile I",14.4
2015,,"Urban, quintile I",8.1
2015,,"Rural, quintile I",15.4
2016,,,6.9
2016,Urban,,2.4
2016,Rural,,10.1
2016,,"Total, quintile I",17.6
2016,,"Urban, quintile I",17.7
2016,,"Rural, quintile I",17.6
2017,,,8.3
2017,Urban,,2.9
2017,Rural,,12.0
2017,,"Total, quintile I",21.5
2017,,"Urban, quintile I",13.7
2017,,"Rural, quintile I",22.6
2018,,,7.1
2018,Urban,,2.6
2018,Rural,,10.3
2018,,"Total, quintile I",20.7
2018,,"Urban, quintile I",13.4
2018,,"Rural, quintile I",21.9
2019,,,3.0
2019,Urban,,0.6
2019,Rural,,4.6
2019,,"Total, quintile I",9.3
2019,,"Urban, quintile I",2.9
2019,,"Rural, quintile I",10.4
2020,,,3.9
2020,Urban,,1.7
2020,Rural,,5.3
2020,,"Total, quintile I",10.3
2020,,"Urban, quintile I",11.4
2020,,"Rural, quintile I",10.1
2021,,,3.9
2021,Urban,,1.8
2021,Rural,,5.3
2021,,"Total, quintile I",10.7
2021,,"Urban, quintile I",11.8
2021,,"Rural, quintile I",10.5
2022,,,2.4
2022,Urban,,0.6
2022,Rural,,3.6
2022,,"Total, quintile I",6.3
2022,,"Urban, quintile I",1.2
2022,,"Rural, quintile I",7.3
