Year,Sex,Age group,High-risk population categories,Value
2010,,,,32.4
2010,Bărbați,,,41.6
2010,Femei,,,23.8
2010,,15-24,,24.4
2010,,25-34,,67.3
2010,,35-44,,72.3
2010,,45-54,,32.5
2010,,55+,,5.2
2010,,,Injecting drug users,
2010,,,Commercial sex worker,
2010,,,Men who have sex with men,
2011,,,,30.8
2011,Bărbați,,,39.5
2011,Femei,,,22.7
2011,,15-24,,23.4
2011,,25-34,,63.6
2011,,35-44,,66.5
2011,,45-54,,30.5
2011,,55+,,4.9
2011,,,Injecting drug users,
2011,,,Commercial sex worker,
2011,,,Men who have sex with men,
2012,,,,28.6
2012,Bărbați,,,36.8
2012,Femei,,,21.1
2012,,15-24,,21.8
2012,,25-34,,59.1
2012,,35-44,,60.1
2012,,45-54,,28.1
2012,,55+,,4.7
2012,,,Injecting drug users,
2012,,,Commercial sex worker,
2012,,,Men who have sex with men,
2013,,,,26.6
2013,Bărbați,,,34.2
2013,Femei,,,19.6
2013,,15-24,,20.2
2013,,25-34,,55.7
2013,,35-44,,52.8
2013,,45-54,,25.9
2013,,55+,,4.4
2013,,,Injecting drug users,
2013,,,Commercial sex worker,
2013,,,Men who have sex with men,
2014,,,,33.3
2014,Bărbați,,,48.2
2014,Femei,,,19.6
2014,,15-24,,39.7
2014,,25-34,,80.4
2014,,35-44,,49.2
2014,,45-54,,38.5
2014,,55+,,10.2
2014,,,Injecting drug users,1295.5
2014,,,Commercial sex worker,505.7
2014,,,Men who have sex with men,1156.6
2015,,,,33.0
2015,Bărbați,,,47.6
2015,Femei,,,19.4
2015,,15-24,,39.6
2015,,25-34,,79.8
2015,,35-44,,48.1
2015,,45-54,,37.4
2015,,55+,,10.2
2015,,,Injecting drug users,1060.8
2015,,,Commercial sex worker,508.8
2015,,,Men who have sex with men,1081.7
2016,,,,30.4
2016,Bărbați,,,43.8
2016,Femei,,,18.0
2016,,15-24,,36.2
2016,,25-34,,73.3
2016,,35-44,,43.9
2016,,45-54,,33.0
2016,,55+,,9.6
2016,,,Injecting drug users,895.3
2016,,,Commercial sex worker,511.7
2016,,,Men who have sex with men,1022.7
2017,,,,29.4
2017,Bărbați,,,42.6
2017,Femei,,,17.3
2017,,15-24,,35.7
2017,,25-34,,73.2
2017,,35-44,,44.2
2017,,45-54,,31.4
2017,,55+,,9.5
2017,,,Injecting drug users,806.0
2017,,,Commercial sex worker,506.4
2017,,,Men who have sex with men,993.1
2018,,,,28.4
2018,Bărbați,,,41.4
2018,Femei,,,16.7
2018,,15-24,,35.4
2018,,25-34,,72.6
2018,,35-44,,44.4
2018,,45-54,,29.8
2018,,55+,,9.3
2018,,,Injecting drug users,1484.0
2018,,,Commercial sex worker,267.1
2018,,,Men who have sex with men,1162.4
2019,,,,27.4
2019,Bărbați,,,39.6
2019,Femei,,,16.3
2019,,15-24,,34.0
2019,,25-34,,69.4
2019,,35-44,,43.0
2019,,45-54,,27.2
2019,,55+,,9.0
2019,,,Injecting drug users,1389.5
2019,,,Commercial sex worker,211.5
2019,,,Men who have sex with men,1048.9
2020,,,,26.2
2020,Bărbați,,,38.1
2020,Femei,,,15.4
2020,,15-24,,32.6
2020,,25-34,,68.2
2020,,35-44,,43.6
2020,,45-54,,25.1
2020,,55+,,8.9
2020,,,Injecting drug users,1582.9
2020,,,Commercial sex worker,239.3
2020,,,Men who have sex with men,972.2
2021,,,,26.7
2021,Bărbați,,,38.8
2021,Femei,,,15.8
2021,,15-24,,32.6
2021,,25-34,,69.9
2021,,35-44,,45.5
2021,,45-54,,24.7
2021,,55+,,9.1
2021,,,Injecting drug users,1606.8
2021,,,Commercial sex worker,222.3
2021,,,Men who have sex with men,959.0
2022,,,,
2022,Bărbați,,,
2022,Femei,,,
2022,,15-24,,
2022,,25-34,,
2022,,35-44,,
2022,,45-54,,
2022,,55+,,
2022,,,Injecting drug users,
2022,,,Commercial sex worker,
2022,,,Men who have sex with men,
