Year,Sex,Grupe de persoane,Ţări de destinaţie,Forme de exploatare,Mediu de reședință,Nivel de studii,Value
2010,,,,,,,
2010,Bărbați,,,,,,
2010,Femei,,,,,,
2010,,Adulți,,,,,
2010,,Copii,,,,,
2010,,,Republica Moldova,,,,
2010,,,Federația Rusă,,,,
2010,,,Germania,,,,
2010,,,Polonia,,,,
2010,,,Turcia,,,,
2010,,,Italia,,,,
2010,,,Portugalia,,,,
2010,,,Spania,,,,
2010,,,Cipru,,,,
2010,,,România,,,,
2010,,,Grecia,,,,
2010,,,Cehia,,,,
2010,,,Alte,,,,
2010,,,,Sexuală,,,
2010,,,,Muncă,,,
2010,,,,Cerșit,,,
2010,,,,Mixt,,,
2010,,,,Mamă-surogat,,,
2010,,,,Antrenarea în activități criminale,,,
2010,,,,"Prelevare de organe, țesuturi sau celule umane",,,
2010,,,,,Urban,,
2010,,,,,Rural,,
2010,,,,,Locuitor al altui stat,,
2010,,,,,Persoană fără loc de trai permanent,,
2010,,,,,,Superioare,
2010,,,,,,Superioare incomplete,
2010,,,,,,Medii speciale,
2010,,,,,,Medii,
2010,,,,,,Medii incomplete,
2010,,,,,,Primare,
2010,,,,,,Alt nivel de educație,
2010,,,,,,Analfabet,
2011,,,,,,,
2011,Bărbați,,,,,,
2011,Femei,,,,,,
2011,,Adulți,,,,,
2011,,Copii,,,,,
2011,,,Republica Moldova,,,,
2011,,,Federația Rusă,,,,
2011,,,Germania,,,,
2011,,,Polonia,,,,
2011,,,Turcia,,,,
2011,,,Italia,,,,
2011,,,Portugalia,,,,
2011,,,Spania,,,,
2011,,,Cipru,,,,
2011,,,România,,,,
2011,,,Grecia,,,,
2011,,,Cehia,,,,
2011,,,Alte,,,,
2011,,,,Sexuală,,,
2011,,,,Muncă,,,
2011,,,,Cerșit,,,
2011,,,,Mixt,,,
2011,,,,Mamă-surogat,,,
2011,,,,Antrenarea în activități criminale,,,
2011,,,,"Prelevare de organe, țesuturi sau celule umane",,,
2011,,,,,Urban,,
2011,,,,,Rural,,
2011,,,,,Locuitor al altui stat,,
2011,,,,,Persoană fără loc de trai permanent,,
2011,,,,,,Superioare,
2011,,,,,,Superioare incomplete,
2011,,,,,,Medii speciale,
2011,,,,,,Medii,
2011,,,,,,Medii incomplete,
2011,,,,,,Primare,
2011,,,,,,Alt nivel de educație,
2011,,,,,,Analfabet,
2012,,,,,,,
2012,Bărbați,,,,,,
2012,Femei,,,,,,
2012,,Adulți,,,,,
2012,,Copii,,,,,
2012,,,Republica Moldova,,,,
2012,,,Federația Rusă,,,,
2012,,,Germania,,,,
2012,,,Polonia,,,,
2012,,,Turcia,,,,
2012,,,Italia,,,,
