Year,Sexul petiționarului,Criterii de discriminare,Domeniul de discriminare,Forma de discriminare,Mediu de reședință,Value
2011,,,,,Urban,
2011,,,,,Rural,
2012,,,,,,
2012,Bărbați,,,,,
2012,Femei,,,,,
2012,,Opinie,,,,
2012,,Dizabilitate,,,,
2012,,Origine socială,,,,
2012,,Limbă,,,,
2012,,Sex/gen,,,,
2012,,Statutul HIV,,,,
2012,,Orientarea sexuală,,,,
2012,,Religie/convingeri,,,,
2012,,Statut profesional,,,,
2012,,Statut matrimonial,,,,
2012,,Apartenență politică,,,,
2012,,Loc de trai,,,,
2012,,Apartenență etnică,,,,
2012,,Maternitate,,,,
2012,,Naționalitate,,,,
2012,,Vârsta,,,,
2012,,Rasă,,,,
2012,,Activitate sindicală,,,,
2012,,Statut de pensionar,,,,
2012,,Alte,,,,
2012,,,Discriminare în câmpul muncii,,,
2012,,,Acces la învățământ,,,
2012,,,Acces la bunuri și servicii disponibile publicului,,,
2012,,,Acces la justiție,,,
2012,,,Discurs de ură,,,
2012,,,Lezarea demnității umane,,,
2012,,,Exercitarea drepturilor părintești,,,
2012,,,Alte,,,
2012,,,,Discriminare directă,,
2012,,,,Discriminare indirectă,,
2012,,,,Discriminare prin asociere,,
2012,,,,Instigare la discriminare,,
2012,,,,Hărțuire,,
2012,,,,Victimizare,,
2012,,,,Refuz în acomodare rezonabilă,,
2012,,,,Segregare rasială,,
2012,,,,,Urban,
2012,,,,,Rural,
2013,,,,,,
2013,Bărbați,,,,,
2013,Femei,,,,,
2013,,Opinie,,,,
2013,,Dizabilitate,,,,
2013,,Origine socială,,,,
2013,,Limbă,,,,
2013,,Sex/gen,,,,
2013,,Statutul HIV,,,,
2013,,Orientarea sexuală,,,,
2013,,Religie/convingeri,,,,
2013,,Statut profesional,,,,
2013,,Statut matrimonial,,,,
2013,,Apartenență politică,,,,
2013,,Loc de trai,,,,
2013,,Apartenență etnică,,,,
2013,,Maternitate,,,,
2013,,Naționalitate,,,,
2013,,Vârsta,,,,
2013,,Rasă,,,,
2013,,Activitate sindicală,,,,
2013,,Statut de pensionar,,,,
2013,,Alte,,,,
2013,,,Discriminare în câmpul muncii,,,
2013,,,Acces la învățământ,,,
2013,,,Acces la bunuri și servicii disponibile publicului,,,
2013,,,Acces la justiție,,,
2013,,,Discurs de ură,,,
2013,,,Lezarea demnității umane,,,
2013,,,Exercitarea drepturilor părintești,,,
2013,,,Alte,,,
2013,,,,Discriminare directă,,
2013,,,,Discriminare indirectă,,
2013,,,,Discriminare prin asociere,,
2013,,,,Instigare la discriminare,,
2013,,,,Hărțuire,,
2013,,,,Victimizare,,
2013,,,,Refuz în acomodare rezonabilă,,
2013,,,,Segregare rasială,,
2013,,,,,Urban,
2013,,,,,Rural,
2014,,,,,,2.27
2014,Bărbați,,,,,
2014,Femei,,,,,
2014,,Opinie,,,,0.0
2014,,Dizabilitate,,,,0.49
2014,,Origine socială,,,,0.07
2014,,Limbă,,,,0.0
2014,,Sex/gen,,,,0.45
2014,,Statutul HIV,,,,0.0
2014,,Orientarea sexuală,,,,0.17
2014,,Religie/convingeri,,,,0.17
2014,,Statut profesional,,,,0.1
2014,,Statut matrimonial,,,,0.1
2014,,Apartenență politică,,,,0.07
2014,,Loc de trai,,,,0.07
2014,,Apartenență etnică,,,,0.03
2014,,Maternitate,,,,0.03
2014,,Naționalitate,,,,0.03
2014,,Vârsta,,,,0.0
2014,,Rasă,,,,0.0
2014,,Activitate sindicală,,,,0.0
2014,,Statut de pensionar,,,,0.0
2014,,Alte,,,,0.0
2014,,,Discriminare în câmpul muncii,,,0.31
2014,,,Acces la învățământ,,,0.1
2014,,,Acces la bunuri și servicii disponibile publicului,,,0.7
2014,,,Acces la justiție,,,0.21
2014,,,Discurs de ură,,,0.0
2014,,,Lezarea demnității umane,,,0.21
2014,,,Exercitarea drepturilor părintești,,,0.1
2014,,,Alte,,,0.03
2014,,,,Discriminare directă,,0.0
2014,,,,Discriminare indirectă,,0.0
2014,,,,Discriminare prin asociere,,0.0
2014,,,,Instigare la discriminare,,0.0
2014,,,,Hărțuire,,0.0
2014,,,,Victimizare,,0.0
2014,,,,Refuz în acomodare rezonabilă,,0.0
2014,,,,Segregare rasială,,0.0
2014,,,,,Urban,
2014,,,,,Rural,
2015,,,,,,1.27
2015,Bărbați,,,,,
2015,Femei,,,,,
2015,,Opinie,,,,0.14
2015,,Dizabilitate,,,,0.28
2015,,Origine socială,,,,0.0
2015,,Limbă,,,,0.14
2015,,Sex/gen,,,,0.28
2015,,Statutul HIV,,,,0.0
2015,,Orientarea sexuală,,,,0.07
2015,,Religie/convingeri,,,,0.0
2015,,Statut profesional,,,,0.0
2015,,Statut matrimonial,,,,0.0
2015,,Apartenență politică,,,,0.0
2015,,Loc de trai,,,,0.07
2015,,Apartenență etnică,,,,0.14
2015,,Maternitate,,,,0.04
2015,,Naționalitate,,,,0.04
2015,,Vârsta,,,,0.11
2015,,Rasă,,,,0.14
2015,,Activitate sindicală,,,,0.0
2015,,Statut de pensionar,,,,0.0
2015,,Alte,,,,0.0
2015,,,Discriminare în câmpul muncii,,,0.35
2015,,,Acces la învățământ,,,0.04
2015,,,Acces la bunuri și servicii disponibile publicului,,,0.56
2015,,,Acces la justiție,,,0.0
2015,,,Discurs de ură,,,0.0
2015,,,Lezarea demnității umane,,,0.14
2015,,,Exercitarea drepturilor părintești,,,0.07
2015,,,Alte,,,0.04
2015,,,,Discriminare directă,,0.91
2015,,,,Discriminare indirectă,,0.04
2015,,,,Discriminare prin asociere,,0.04
2015,,,,Instigare la discriminare,,0.11
2015,,,,Hărțuire,,0.07
2015,,,,Victimizare,,0.04
2015,,,,Refuz în acomodare rezonabilă,,0.25
2015,,,,Segregare rasială,,0.0
2015,,,,,Urban,
2015,,,,,Rural,
2016,,,,,,1.49
2016,Bărbați,,,,,1.55
2016,Femei,,,,,1.02
2016,,Opinie,,,,0.0
2016,,Dizabilitate,,,,0.78
2016,,Origine socială,,,,0.04
2016,,Limbă,,,,0.11
2016,,Sex/gen,,,,0.28
2016,,Statutul HIV,,,,0.04
2016,,Orientarea sexuală,,,,0.0
2016,,Religie/convingeri,,,,0.0
2016,,Statut profesional,,,,0.0
2016,,Statut matrimonial,,,,0.0
2016,,Apartenență politică,,,,0.0
2016,,Loc de trai,,,,0.0
2016,,Apartenență etnică,,,,0.04
2016,,Maternitate,,,,0.04
2016,,Naționalitate,,,,0.04
2016,,Vârsta,,,,0.07
2016,,Rasă,,,,0.0
2016,,Activitate sindicală,,,,0.0
2016,,Statut de pensionar,,,,0.0
2016,,Alte,,,,0.04
2016,,,Discriminare în câmpul muncii,,,0.11
2016,,,Acces la învățământ,,,0.04
2016,,,Acces la bunuri și servicii disponibile publicului,,,0.39
2016,,,Acces la justiție,,,0.18
2016,,,Discurs de ură,,,0.0
2016,,,Lezarea demnității umane,,,0.0
2016,,,Exercitarea drepturilor părintești,,,0.0
2016,,,Alte,,,0.0
2016,,,,Discriminare directă,,0.14
2016,,,,Discriminare indirectă,,0.11
2016,,,,Discriminare prin asociere,,0.04
2016,,,,Instigare la discriminare,,0.0
2016,,,,Hărțuire,,0.07
2016,,,,Victimizare,,0.0
2016,,,,Refuz în acomodare rezonabilă,,0.0
2016,,,,Segregare rasială,,0.0
2016,,,,,Urban,1.23
2016,,,,,Rural,0.17
2017,,,,,,1.98
2017,Bărbați,,,,,1.8
2017,Femei,,,,,1.04
2017,,Opinie,,,,0.0
2017,,Dizabilitate,,,,1.01
2017,,Origine socială,,,,0.14
2017,,Limbă,,,,0.22
2017,,Sex/gen,,,,0.32
2017,,Statutul HIV,,,,0.04
2017,,Orientarea sexuală,,,,0.04
2017,,Religie/convingeri,,,,0.07
2017,,Statut profesional,,,,0.14
2017,,Statut matrimonial,,,,0.0
2017,,Apartenență politică,,,,0.0
2017,,Loc de trai,,,,0.04
2017,,Apartenență etnică,,,,0.0
2017,,Maternitate,,,,0.0
2017,,Naționalitate,,,,0.0
2017,,Vârsta,,,,0.36
2017,,Rasă,,,,0.14
2017,,Activitate sindicală,,,,0.0
2017,,Statut de pensionar,,,,0.0
2017,,Alte,,,,0.0
2017,,,Discriminare în câmpul muncii,,,0.36
2017,,,Acces la învățământ,,,0.04
2017,,,Acces la bunuri și servicii disponibile publicului,,,1.26
2017,,,Acces la justiție,,,0.22
2017,,,Discurs de ură,,,0.0
2017,,,Lezarea demnității umane,,,0.36
2017,,,Exercitarea drepturilor părintești,,,0.0
2017,,,Alte,,,0.0
2017,,,,Discriminare directă,,1.04
2017,,,,Discriminare indirectă,,0.32
2017,,,,Discriminare prin asociere,,0.07
2017,,,,Instigare la discriminare,,0.18
2017,,,,Hărțuire,,0.04
2017,,,,Victimizare,,0.11
2017,,,,Refuz în acomodare rezonabilă,,0.22
2017,,,,Segregare rasială,,0.0
2017,,,,,Urban,1.33
2017,,,,,Rural,0.32
2018,,,,,,3.07
2018,Bărbați,,,,,1.75
2018,Femei,,,,,1.02
2018,,Opinie,,,,0.21
2018,,Dizabilitate,,,,0.32
2018,,Origine socială,,,,0.03
2018,,Limbă,,,,0.95
2018,,Sex/gen,,,,0.4
2018,,Statutul HIV,,,,0.0
2018,,Orientarea sexuală,,,,0.0
2018,,Religie/convingeri,,,,0.18
2018,,Statut profesional,,,,0.0
2018,,Statut matrimonial,,,,0.03
2018,,Apartenență politică,,,,0.18
2018,,Loc de trai,,,,0.03
2018,,Apartenență etnică,,,,0.14
2018,,Maternitate,,,,0.07
2018,,Naționalitate,,,,0.43
2018,,Vârsta,,,,0.32
2018,,Rasă,,,,0.0
2018,,Activitate sindicală,,,,0.07
2018,,Statut de pensionar,,,,0.03
2018,,Alte,,,,0.07
2018,,,Discriminare în câmpul muncii,,,1.06
2018,,,Acces la învățământ,,,0.14
2018,,,Acces la bunuri și servicii disponibile publicului,,,0.84
2018,,,Acces la justiție,,,0.84
2018,,,Discurs de ură,,,0.0
2018,,,Lezarea demnității umane,,,0.18
2018,,,Exercitarea drepturilor părintești,,,0.0
2018,,,Alte,,,0.0
2018,,,,Discriminare directă,,1.9
2018,,,,Discriminare indirectă,,0.1
2018,,,,Discriminare prin asociere,,0.03
2018,,,,Instigare la discriminare,,0.21
2018,,,,Hărțuire,,0.36
2018,,,,Victimizare,,0.1
2018,,,,Refuz în acomodare rezonabilă,,0.29
2018,,,,Segregare rasială,,0.0
2018,,,,,Urban,2.34
2018,,,,,Rural,0.73
2019,,,,,,2.86
2019,Bărbați,,,,,1.3
2019,Femei,,,,,1.11
2019,,Opinie,,,,0.14
2019,,Dizabilitate,,,,0.33
2019,,Origine socială,,,,0.03
2019,,Limbă,,,,0.74
2019,,Sex/gen,,,,0.55
2019,,Statutul HIV,,,,0.07
2019,,Orientarea sexuală,,,,0.0
2019,,Religie/convingeri,,,,0.14
2019,,Statut profesional,,,,0.07
2019,,Statut matrimonial,,,,0.0
2019,,Apartenență politică,,,,0.0
2019,,Loc de trai,,,,0.03
2019,,Apartenență etnică,,,,0.07
2019,,Maternitate,,,,0.03
2019,,Naționalitate,,,,0.0
2019,,Vârsta,,,,0.14
2019,,Rasă,,,,0.0
2019,,Activitate sindicală,,,,0.0
2019,,Statut de pensionar,,,,0.14
2019,,Alte,,,,0.03
2019,,,Discriminare în câmpul muncii,,,0.48
2019,,,Acces la învățământ,,,0.22
2019,,,Acces la bunuri și servicii disponibile publicului,,,0.93
2019,,,Acces la justiție,,,0.63
2019,,,Discurs de ură,,,0.0
2019,,,Lezarea demnității umane,,,0.55
2019,,,Exercitarea drepturilor părintești,,,0.0
2019,,,Alte,,,0.03
2019,,,,Discriminare directă,,0.55
2019,,,,Discriminare indirectă,,0.48
2019,,,,Discriminare prin asociere,,0.0
2019,,,,Instigare la discriminare,,0.37
2019,,,,Hărțuire,,0.4
2019,,,,Victimizare,,0.07
2019,,,,Refuz în acomodare rezonabilă,,0.89
2019,,,,Segregare rasială,,0.0
2019,,,,,Urban,2.27
2019,,,,,Rural,0.59
2020,,,,,,3.13
2020,Bărbați,,,,,1.36
2020,Femei,,,,,1.21
2020,,Opinie,,,,0.18
2020,,Dizabilitate,,,,0.49
2020,,Origine socială,,,,0.07
2020,,Limbă,,,,0.52
2020,,Sex/gen,,,,0.49
2020,,Statutul HIV,,,,0.03
2020,,Orientarea sexuală,,,,0.07
2020,,Religie/convingeri,,,,0.03
2020,,Statut profesional,,,,0.03
2020,,Statut matrimonial,,,,0.0
2020,,Apartenență politică,,,,0.0
2020,,Loc de trai,,,,0.0
2020,,Apartenență etnică,,,,0.07
2020,,Maternitate,,,,0.07
2020,,Naționalitate,,,,0.0
2020,,Vârsta,,,,0.18
2020,,Rasă,,,,0.0
2020,,Activitate sindicală,,,,0.0
2020,,Statut de pensionar,,,,0.07
2020,,Alte,,,,0.18
2020,,,Discriminare în câmpul muncii,,,0.9
2020,,,Acces la învățământ,,,0.22
2020,,,Acces la bunuri și servicii disponibile publicului,,,0.68
2020,,,Acces la justiție,,,0.41
2020,,,Discurs de ură,,,0.0
2020,,,Lezarea demnității umane,,,0.64
2020,,,Exercitarea drepturilor părintești,,,0.0
2020,,,Alte,,,0.26
2020,,,,Discriminare directă,,0.79
2020,,,,Discriminare indirectă,,0.22
2020,,,,Discriminare prin asociere,,0.03
2020,,,,Instigare la discriminare,,0.49
2020,,,,Hărțuire,,0.45
2020,,,,Victimizare,,0.03
2020,,,,Refuz în acomodare rezonabilă,,0.83
2020,,,,Segregare rasială,,0.0
2020,,,,,Urban,2.68
2020,,,,,Rural,0.45
2021,,,,,,1.52
2021,Bărbați,,,,,0.72
2021,Femei,,,,,0.45
2021,,Opinie,,,,0.11
2021,,Dizabilitate,,,,0.11
2021,,Origine socială,,,,0.0
2021,,Limbă,,,,0.22
2021,,Sex/gen,,,,0.11
2021,,Statutul HIV,,,,0.0
2021,,Orientarea sexuală,,,,0.11
2021,,Religie/convingeri,,,,0.0
2021,,Statut profesional,,,,0.0
2021,,Statut matrimonial,,,,0.0
2021,,Apartenență politică,,,,0.07
2021,,Loc de trai,,,,0.0
2021,,Apartenență etnică,,,,0.26
2021,,Maternitate,,,,0.03
2021,,Naționalitate,,,,0.0
2021,,Vârsta,,,,0.03
2021,,Rasă,,,,0.0
2021,,Activitate sindicală,,,,0.03
2021,,Statut de pensionar,,,,0.0
2021,,Alte,,,,0.26
2021,,,Discriminare în câmpul muncii,,,0.41
2021,,,Acces la învățământ,,,0.11
2021,,,Acces la bunuri și servicii disponibile publicului,,,0.34
2021,,,Acces la justiție,,,0.15
2021,,,Discurs de ură,,,0.0
2021,,,Lezarea demnității umane,,,0.38
2021,,,Exercitarea drepturilor părintești,,,0.0
2021,,,Alte,,,0.11
2021,,,,Discriminare directă,,0.3
2021,,,,Discriminare indirectă,,0.03
2021,,,,Discriminare prin asociere,,0.03
2021,,,,Instigare la discriminare,,0.34
2021,,,,Hărțuire,,0.19
2021,,,,Victimizare,,0.07
2021,,,,Refuz în acomodare rezonabilă,,0.07
2021,,,,Segregare rasială,,0.0
2021,,,,,Urban,1.18
2021,,,,,Rural,0.34
2022,,,,,,1.15
2022,Bărbați,,,,,0.46
2022,Femei,,,,,0.3
2022,,Opinie,,,,0.03
2022,,Dizabilitate,,,,0.07
2022,,Origine socială,,,,0.0
2022,,Limbă,,,,0.34
2022,,Sex/gen,,,,0.03
2022,,Statutul HIV,,,,0.0
2022,,Orientarea sexuală,,,,0.26
2022,,Religie/convingeri,,,,0.07
2022,,Statut profesional,,,,0.03
2022,,Statut matrimonial,,,,0.0
2022,,Apartenență politică,,,,0.03
2022,,Loc de trai,,,,0.0
2022,,Apartenență etnică,,,,0.07
2022,,Maternitate,,,,0.0
2022,,Naționalitate,,,,0.0
2022,,Vârsta,,,,0.0
2022,,Rasă,,,,0.0
2022,,Activitate sindicală,,,,0.0
2022,,Statut de pensionar,,,,0.07
2022,,Alte,,,,0.03
2022,,,Discriminare în câmpul muncii,,,0.19
2022,,,Acces la învățământ,,,0.0
2022,,,Acces la bunuri și servicii disponibile publicului,,,0.3
2022,,,Acces la justiție,,,0.23
2022,,,Discurs de ură,,,0.0
2022,,,Lezarea demnității umane,,,0.26
2022,,,Exercitarea drepturilor părintești,,,0.0
2022,,,Alte,,,0.07
2022,,,,Discriminare directă,,0.61
2022,,,,Discriminare indirectă,,0.07
2022,,,,Discriminare prin asociere,,0.11
2022,,,,Instigare la discriminare,,0.3
2022,,,,Hărțuire,,0.03
2022,,,,Victimizare,,0.0
2022,,,,Refuz în acomodare rezonabilă,,0.0
2022,,,,Segregare rasială,,0.0
2022,,,,,Urban,0.92
2022,,,,,Rural,0.23
2023,,,,,,1.0
2023,Bărbați,,,,,0.6
2023,Femei,,,,,0.3
2023,,Opinie,,,,0.0
2023,,Dizabilitate,,,,0.39
2023,,Origine socială,,,,0.0
2023,,Limbă,,,,0.39
2023,,Sex/gen,,,,0.11
2023,,Statutul HIV,,,,0.0
2023,,Orientarea sexuală,,,,0.03
2023,,Religie/convingeri,,,,0.0
2023,,Statut profesional,,,,0.03
2023,,Statut matrimonial,,,,0.0
2023,,Apartenență politică,,,,0.0
2023,,Loc de trai,,,,0.0
2023,,Apartenență etnică,,,,0.03
2023,,Maternitate,,,,0.03
2023,,Naționalitate,,,,0.03
2023,,Vârsta,,,,0.0
2023,,Rasă,,,,0.0
2023,,Activitate sindicală,,,,0.03
2023,,Statut de pensionar,,,,0.03
2023,,Alte,,,,0.07
2023,,,Discriminare în câmpul muncii,,,0.39
2023,,,Acces la învățământ,,,0.0
2023,,,Acces la bunuri și servicii disponibile publicului,,,0.79
2023,,,Acces la justiție,,,0.07
2023,,,Discurs de ură,,,0.0
2023,,,Lezarea demnității umane,,,0.15
2023,,,Exercitarea drepturilor părintești,,,0.0
2023,,,Alte,,,0.07
2023,,,,Discriminare directă,,0.59
2023,,,,Discriminare indirectă,,0.15
2023,,,,Discriminare prin asociere,,0.0
2023,,,,Instigare la discriminare,,0.15
2023,,,,Hărțuire,,0.11
2023,,,,Victimizare,,0.0
2023,,,,Refuz în acomodare rezonabilă,,0.03
2023,,,,Segregare rasială,,0.0
2023,,,,,Urban,1.27
2023,,,,,Rural,0.19
2024,,,,,,2.2
2024,Bărbați,,,,,1.16
2024,Femei,,,,,1.03
2024,,Opinie,,,,0.12
2024,,Dizabilitate,,,,0.24
2024,,Origine socială,,,,0.04
2024,,Limbă,,,,0.37
2024,,Sex/gen,,,,0.29
2024,,Statutul HIV,,,,0.04
2024,,Orientarea sexuală,,,,0.08
2024,,Religie/convingeri,,,,0.08
2024,,Statut profesional,,,,0.08
2024,,Statut matrimonial,,,,0.0
2024,,Apartenență politică,,,,0.08
2024,,Loc de trai,,,,0.12
2024,,Apartenență etnică,,,,0.04
2024,,Maternitate,,,,
2024,,Naționalitate,,,,0.04
2024,,Vârsta,,,,0.12
2024,,Rasă,,,,0.0
2024,,Activitate sindicală,,,,0.0
2024,,Statut de pensionar,,,,0.12
2024,,Alte,,,,0.49
2024,,,Discriminare în câmpul muncii,,,0.87
2024,,,Acces la învățământ,,,0.16
2024,,,Acces la bunuri și servicii disponibile publicului,,,0.54
2024,,,Acces la justiție,,,0.0
2024,,,Discurs de ură,,,0.0
2024,,,Lezarea demnității umane,,,0.42
2024,,,Exercitarea drepturilor părintești,,,0.0
2024,,,Alte,,,0.45
2024,,,,Discriminare directă,,1.4
2024,,,,Discriminare indirectă,,0.15
2024,,,,Discriminare prin asociere,,0.04
2024,,,,Instigare la discriminare,,0.08
2024,,,,Hărțuire,,0.39
2024,,,,Victimizare,,0.11
2024,,,,Refuz în acomodare rezonabilă,,0.0
2024,,,,Segregare rasială,,0.0
2024,,,,,Urban,1.74
2024,,,,,Rural,0.46
2025,,,,,,3.08
2025,Bărbați,,,,,1.78
2025,Femei,,,,,1.29
2025,,Opinie,,,,0.2
2025,,Dizabilitate,,,,1.87
2025,,Origine socială,,,,0.0
2025,,Limbă,,,,0.12
2025,,Sex/gen,,,,1.08
2025,,Statutul HIV,,,,0.04
2025,,Orientarea sexuală,,,,0.0
2025,,Religie/convingeri,,,,0.04
2025,,Statut profesional,,,,0.0
2025,,Statut matrimonial,,,,0.0
2025,,Apartenență politică,,,,0.08
2025,,Loc de trai,,,,0.12
2025,,Apartenență etnică,,,,0.08
2025,,Maternitate,,,,
2025,,Naționalitate,,,,0.04
2025,,Vârsta,,,,0.41
2025,,Rasă,,,,0.0
2025,,Activitate sindicală,,,,0.0
2025,,Statut de pensionar,,,,0.08
2025,,Alte,,,,0.25
2025,,,Discriminare în câmpul muncii,,,1.66
2025,,,Acces la învățământ,,,0.17
2025,,,Acces la bunuri și servicii disponibile publicului,,,0.62
2025,,,Acces la justiție,,,0.0
2025,,,Discurs de ură,,,0.0
2025,,,Lezarea demnității umane,,,0.08
2025,,,Exercitarea drepturilor părintești,,,0.0
2025,,,Alte,,,0.54
2025,,,,Discriminare directă,,2.2
2025,,,,Discriminare indirectă,,0.25
2025,,,,Discriminare prin asociere,,0.08
2025,,,,Instigare la discriminare,,0.12
2025,,,,Hărțuire,,0.33
2025,,,,Victimizare,,0.08
2025,,,,Refuz în acomodare rezonabilă,,0.012
2025,,,,Segregare rasială,,0.0
2025,,,,,Urban,2.25
2025,,,,,Rural,0.83
